code,claim_insurance_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
G8752,BLUE_CROSS_BLUE_SHIELD,5,5,1.0,0.05,0.01
99406,BLUE_CROSS_BLUE_SHIELD,2,2,1.0,70.0,35.0
G8433,BLUE_CROSS_BLUE_SHIELD,2,2,1.0,0.02,0.01
3044F,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
G8755,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
15853,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,25.0,25.0
G8753,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
33993,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,315.0,315.0
99309,MEDICARE,5499,5500,1.0,1017500.0,185.03
99308,MEDICARE,1923,1923,1.0,269220.0,140.0
99310,MEDICARE,601,601,1.0,162270.0,270.0
99306,MEDICARE,291,291,1.0,96030.0,330.0
99316,MEDICARE,101,101,1.0,21210.0,210.0
99305,MEDICARE,99,99,1.0,25740.0,260.0
99349,MEDICARE,94,94,1.0,23970.0,255.0
99497,MEDICARE,82,82,1.0,13530.0,165.0
99350,MEDICARE,54,54,1.0,19170.0,355.0
99315,MEDICARE,54,54,1.0,7830.0,145.0
99348,MEDICARE,39,39,1.0,6630.0,170.0
G8510,MEDICARE,19,19,1.0,0.19,0.01
99307,MEDICARE,13,13,1.0,1170.0,90.0
G8754,MEDICARE,8,8,1.0,0.08,0.01
G8752,MEDICARE,8,8,1.0,0.08,0.01
90471,MEDICARE,6,6,1.0,210.0,35.0
G8433,MEDICARE,2,2,1.0,0.02,0.01
3044F,MEDICARE,2,2,1.0,0.02,0.01
G8755,MEDICARE,1,1,1.0,0.01,0.01
99498,MEDICARE,1,1,1.0,145.0,145.0
G0127,MEDICARE,1,1,1.0,50.0,50.0
G0444,MEDICARE,1,1,1.0,35.0,35.0
99304,MEDICARE,1,1,1.0,180.0,180.0
G8753,MEDICARE,1,1,1.0,0.01,0.01
11730,MEDICARE,1,1,1.0,240.0,240.0
99309,TRICARE_CHAMPUS,69,69,1.0,12765.0,185.0
99308,TRICARE_CHAMPUS,19,19,1.0,2660.0,140.0
99306,TRICARE_CHAMPUS,6,6,1.0,1980.0,330.0
99310,TRICARE_CHAMPUS,6,6,1.0,1620.0,270.0
99497,TRICARE_CHAMPUS,1,1,1.0,165.0,165.0
99349,TRICARE_CHAMPUS,1,1,1.0,255.0,255.0
99316,TRICARE_CHAMPUS,1,1,1.0,210.0,210.0
99305,TRICARE_CHAMPUS,1,1,1.0,260.0,260.0
99309,WORKERS_COMPENSATION,26,26,1.0,4810.0,185.0
99308,WORKERS_COMPENSATION,10,10,1.0,1400.0,140.0
99310,WORKERS_COMPENSATION,2,2,1.0,540.0,270.0
99306,WORKERS_COMPENSATION,1,1,1.0,330.0,330.0
99349,WORKERS_COMPENSATION,1,1,1.0,255.0,255.0
99309,SELF_PAY,6,6,1.0,1110.0,185.0
99316,SELF_PAY,1,1,1.0,210.0,210.0
