facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
Clayton Rehab and Healthcare Center,MEDICARE,35885.0,171,171,1.0,209.85
CONSULATE HEALTH CARE OF WOODSTOCK,COMMERCIAL_HMO,46720.0,195,241,1.24,239.59
CONSULATE HEALTH CARE OF WOODSTOCK,MEDICAID,7410.0,40,40,1.0,185.25
CONSULATE HEALTH CARE OF WOODSTOCK,BLUE_CROSS_BLUE_SHIELD,6120.0,32,32,1.0,191.25
CONSULATE HEALTH CARE OF WOODSTOCK,MEDICARE,22810.0,118,118,1.0,193.31
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,35410.0,178,195,1.1,198.93
COURTLAND REHAB AND HEALTHCARE,MEDICAID,6035.0,33,33,1.0,182.88
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,7185.0,38,39,1.03,189.08
COURTLAND REHAB AND HEALTHCARE,MEDICARE,39385.0,211,216,1.02,186.66
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,50320.0,216,264,1.22,232.96
DEER MEADOWS REHABILITATION,MEDICAID,3970.0,20,20,1.0,198.5
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,8605.0,44,44,1.0,195.57
DEER MEADOWS REHABILITATION,MEDICARE,17230.0,92,92,1.0,187.28
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,88870.0,420,441,1.05,211.6
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,16900.0,89,90,1.01,189.89
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,20950.0,97,101,1.04,215.98
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,99140.0,479,499,1.04,206.97
ELIZABETH CITY HEALTH AND REHAB,TRICARE_CHAMPUS,2700.0,14,14,1.0,192.86
ELIZABETH CITY HEALTH AND REHAB,SELF_PAY,1960.0,8,9,1.13,245.0
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,24820.0,124,133,1.07,200.16
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,10330.0,55,55,1.0,187.82
EMPORIA REHAB AND HEALTHCARE,MEDICARE,7285.0,37,37,1.0,196.89
GATES-ALF,COMMERCIAL_HMO,170.0,1,1,1.0,170.0
GATES-ALF,MEDICAID,170.0,1,1,1.0,170.0
GATES HEALTH AND REHAB,COMMERCIAL_HMO,6075.0,31,31,1.0,195.97
GATES HEALTH AND REHAB,MEDICAID,1790.0,9,9,1.0,198.89
GATES HEALTH AND REHAB,MEDICARE,1565.0,8,8,1.0,195.63
GUGGENHEIMER HEALTH AND REHAB,COMMERCIAL_HMO,7345.0,38,40,1.05,193.29
GUGGENHEIMER HEALTH AND REHAB,MEDICAID,1475.0,8,8,1.0,184.38
GUGGENHEIMER HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,2185.0,12,12,1.0,182.08
GUGGENHEIMER HEALTH AND REHAB,MEDICARE,4170.0,26,26,1.0,160.38
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,104845.0,544,544,1.0,192.73
GUILFORD HEALTH CARE CENTER,MEDICAID,10960.0,61,61,1.0,179.67
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,9410.0,48,48,1.0,196.04
GUILFORD HEALTH CARE CENTER,MEDICARE,28350.0,152,152,1.0,186.51
GUILFORD HEALTH CARE CENTER,TRICARE_CHAMPUS,785.0,3,3,1.0,261.67
GUILFORD HEALTH CARE CENTER,WORKERS_COMPENSATION,3515.0,18,18,1.0,195.28
HARMONY PARK AT WILSON,COMMERCIAL_HMO,43155.0,252,253,1.0,171.25
HARMONY PARK AT WILSON,MEDICAID,4205.0,23,23,1.0,182.83
HARMONY PARK AT WILSON,MEDICARE,13175.0,76,76,1.0,173.36
HARMONY PARK AT WILSON,TRICARE_CHAMPUS,185.0,1,1,1.0,185.0
HERITAGE GREEN,COMMERCIAL_HMO,5870.0,30,30,1.0,195.67
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,3385.0,16,16,1.0,211.56
HERITAGE GREEN,MEDICARE,8015.0,39,40,1.03,205.51
HERITAGE GREEN,WORKERS_COMPENSATION,510.0,2,2,1.0,255.0
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,23880.0,128,128,1.0,186.56
HERTFORD REHABILITATION AND HC,MEDICAID,13745.0,72,72,1.0,190.9
HERTFORD REHABILITATION AND HC,BLUE_CROSS_BLUE_SHIELD,1010.0,5,5,1.0,202.0
HERTFORD REHABILITATION AND HC,MEDICARE,8110.0,42,42,1.0,193.1
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,86760.0,436,479,1.1,198.99
HIGHLAND RIDGE REHAB,MEDICAID,5565.0,30,30,1.0,185.5
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,35760.0,200,200,1.0,178.8
HIGHLAND RIDGE REHAB,MEDICARE,39950.0,220,220,1.0,181.59
HOLLY MANOR,COMMERCIAL_HMO,104780.0,436,535,1.23,240.32
HOLLY MANOR,MEDICAID,4575.0,24,24,1.0,190.63
HOLLY MANOR,BLUE_CROSS_BLUE_SHIELD,27915.0,145,145,1.0,192.52
HOLLY MANOR,MEDICARE,65270.0,340,340,1.0,191.97
HOLLY MANOR,TRICARE_CHAMPUS,555.0,3,3,1.0,185.0
KENANSVILLE REHAB AND HEALTHCARE,COMMERCIAL_HMO,26325.0,149,153,1.03,176.68
KENANSVILLE REHAB AND HEALTHCARE,MEDICAID,3730.0,19,20,1.05,196.32
KENANSVILLE REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,975.0,6,6,1.0,162.5
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,15865.0,95,95,1.0,167.0
LAUREL PARK REHAB,COMMERCIAL_HMO,10675.0,58,59,1.02,184.05
LAUREL PARK REHAB,MEDICAID,10465.0,61,61,1.0,171.56
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,955.0,6,6,1.0,159.17
LAUREL PARK REHAB,MEDICARE,22540.0,132,132,1.0,170.76
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,89675.0,458,458,1.0,195.8
LEXINGTON HEALTH CARE CENTER,MEDICAID,8250.0,43,43,1.0,191.86
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,21210.0,99,107,1.08,214.24
LEXINGTON HEALTH CARE CENTER,MEDICARE,48960.0,256,256,1.0,191.25
LIFE CARE CENTER OF NEW MARKET,COMMERCIAL_HMO,83690.17,406,440,1.08,206.13
LIFE CARE CENTER OF NEW MARKET,MEDICAID,10075.02,52,54,1.04,193.75
LIFE CARE CENTER OF NEW MARKET,BLUE_CROSS_BLUE_SHIELD,25385.04,121,132,1.09,209.79
LIFE CARE CENTER OF NEW MARKET,MEDICARE,95690.22,473,504,1.07,202.3
LIFE CARE CENTER OF NEW MARKET,WORKERS_COMPENSATION,1155.0,5,5,1.0,231.0
MOUNTAIN LAUREL,COMMERCIAL_HMO,62020.0,282,346,1.23,219.93
MOUNTAIN LAUREL,MEDICAID,3010.0,18,18,1.0,167.22
MOUNTAIN LAUREL,BLUE_CROSS_BLUE_SHIELD,9830.0,57,57,1.0,172.46
MOUNTAIN LAUREL,MEDICARE,15140.0,85,85,1.0,178.12
NORTHERN NECK-ALF,COMMERCIAL_HMO,2850.0,10,12,1.2,285.0
NORTHERN NECK-ALF,MEDICARE,935.0,4,4,1.0,233.75
NORTHERN NECK SENIOR CARE COMMUNITY,COMMERCIAL_HMO,25055.0,112,118,1.05,223.71
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICAID,765.0,4,4,1.0,191.25
NORTHERN NECK SENIOR CARE COMMUNITY,BLUE_CROSS_BLUE_SHIELD,21815.0,105,105,1.0,207.76
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICARE,31785.0,162,162,1.0,196.2
NORTHERN NECK SENIOR CARE COMMUNITY,TRICARE_CHAMPUS,1480.0,8,8,1.0,185.0
NOVA HEALTH AND REHAB CENTER,COMMERCIAL_HMO,11075.0,53,61,1.15,208.96
OAKWOOD MANOR,COMMERCIAL_HMO,51315.0,253,290,1.15,202.83
OAKWOOD MANOR,MEDICAID,860.0,3,3,1.0,286.67
OAKWOOD MANOR,BLUE_CROSS_BLUE_SHIELD,15655.0,84,84,1.0,186.37
OAKWOOD MANOR,MEDICARE,38640.0,217,217,1.0,178.06
PEAK RESOURCES OUTER BANKS,COMMERCIAL_HMO,34030.0,158,166,1.05,215.38
PEAK RESOURCES OUTER BANKS,MEDICAID,5600.0,24,25,1.04,233.33
PEAK RESOURCES OUTER BANKS,BLUE_CROSS_BLUE_SHIELD,17645.0,87,90,1.03,202.82
PEAK RESOURCES OUTER BANKS,MEDICARE,57990.0,275,288,1.05,210.87
Piedmont Health and Rehab,COMMERCIAL_HMO,5655.0,28,29,1.04,201.96
Piedmont Health and Rehab,MEDICAID,555.0,3,3,1.0,185.0
Piedmont Health and Rehab,MEDICARE,5380.0,27,27,1.0,199.26
PINEY FOREST HEALTH AND REHAB,COMMERCIAL_HMO,87830.0,387,467,1.21,226.95
PINEY FOREST HEALTH AND REHAB,MEDICAID,7530.0,39,40,1.03,193.08
PINEY FOREST HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,14145.0,73,75,1.03,193.77
PINEY FOREST HEALTH AND REHAB,MEDICARE,21605.0,115,118,1.03,187.87
PULASKI HEALTH & REHAB,COMMERCIAL_HMO,92810.0,466,516,1.11,199.16
PULASKI HEALTH & REHAB,MEDICAID,5655.0,30,31,1.03,188.5
PULASKI HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,43660.0,238,242,1.02,183.45
PULASKI HEALTH & REHAB,MEDICARE,75640.0,413,418,1.01,183.15
PULASKI HEALTH & REHAB,TRICARE_CHAMPUS,1300.0,8,8,1.0,162.5
RADFORD HEALTH & REHAB,COMMERCIAL_HMO,62200.0,325,352,1.08,191.38
RADFORD HEALTH & REHAB,MEDICAID,1255.0,8,8,1.0,156.88
RADFORD HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,42540.0,247,247,1.0,172.23
RADFORD HEALTH & REHAB,MEDICARE,54985.0,308,308,1.0,178.52
RADFORD HEALTH & REHAB,TRICARE_CHAMPUS,3060.0,16,16,1.0,191.25
RIDGECREST MANOR NURSING AND REHAB,COMMERCIAL_HMO,101315.0,561,593,1.06,180.6
RIDGECREST MANOR NURSING AND REHAB,MEDICAID,5675.0,33,33,1.0,171.97
RIDGECREST MANOR NURSING AND REHAB,BLUE_CROSS_BLUE_SHIELD,6180.0,35,36,1.03,176.57
RIDGECREST MANOR NURSING AND REHAB,MEDICARE,15500.0,88,90,1.02,176.14
RIVERSIDE HEALTH AND REHAB,COMMERCIAL_HMO,92910.0,448,511,1.14,207.39
RIVERSIDE HEALTH AND REHAB,MEDICAID,3675.0,20,20,1.0,183.75
RIVERSIDE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,25655.0,139,140,1.01,184.57
RIVERSIDE HEALTH AND REHAB,MEDICARE,45380.0,250,250,1.0,181.52
RUNK AND PRATT AT WILLOW RIDGE,COMMERCIAL_HMO,2185.0,7,7,1.0,312.14
RUNK AND PRATT AT WILLOW RIDGE,BLUE_CROSS_BLUE_SHIELD,1020.0,4,4,1.0,255.0
RUNK AND PRATT AT WILLOW RIDGE,MEDICARE,2765.0,10,10,1.0,276.5
RUNK & PRATT- FOREST,COMMERCIAL_HMO,5145.0,20,23,1.15,257.25
RUNK & PRATT- FOREST,BLUE_CROSS_BLUE_SHIELD,1020.0,4,4,1.0,255.0
RUNK & PRATT- FOREST,MEDICARE,5065.0,23,25,1.09,220.22
RUNK & PRATT- FOREST,TRICARE_CHAMPUS,255.0,1,1,1.0,255.0
RUNK & PRATT-LEESVILLE,COMMERCIAL_HMO,2765.0,10,10,1.0,276.5
RUNK & PRATT-LEESVILLE,BLUE_CROSS_BLUE_SHIELD,255.0,1,1,1.0,255.0
RUNK & PRATT-LEESVILLE,MEDICARE,1915.0,7,7,1.0,273.57
RUNK & PRATT- LIBERTY RIDGE,COMMERCIAL_HMO,5630.0,21,21,1.0,268.1
RUNK & PRATT- LIBERTY RIDGE,BLUE_CROSS_BLUE_SHIELD,2825.0,10,10,1.0,282.5
RUNK & PRATT- LIBERTY RIDGE,MEDICARE,8215.0,30,30,1.0,273.83
RUNK & PRATT- PEARL OF LIFE,COMMERCIAL_HMO,4715.0,20,21,1.05,235.75
RUNK & PRATT- PEARL OF LIFE,BLUE_CROSS_BLUE_SHIELD,895.0,4,4,1.0,223.75
RUNK & PRATT- PEARL OF LIFE,MEDICARE,8140.0,33,33,1.0,246.67
RUNK & PRATT- SMITH MOUNTAIN LAKE,COMMERCIAL_HMO,6560.0,24,24,1.0,273.33
RUNK & PRATT- SMITH MOUNTAIN LAKE,BLUE_CROSS_BLUE_SHIELD,4580.0,16,16,1.0,286.25
RUNK & PRATT- SMITH MOUNTAIN LAKE,MEDICARE,9200.0,34,34,1.0,270.59
SALEM HEALTH & REHAB,COMMERCIAL_HMO,109910.0,528,590,1.12,208.16
SALEM HEALTH & REHAB,MEDICAID,9175.0,51,51,1.0,179.9
SALEM HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,37535.0,191,191,1.0,196.52
SALEM HEALTH & REHAB,MEDICARE,57810.0,300,301,1.0,192.7
SHENANDOAH VALLEY HEALTH,COMMERCIAL_HMO,37060.0,175,209,1.19,211.77
SHENANDOAH VALLEY HEALTH,MEDICAID,1065.0,5,5,1.0,213.0
SHENANDOAH VALLEY HEALTH,BLUE_CROSS_BLUE_SHIELD,15135.0,84,89,1.06,180.18
SHENANDOAH VALLEY HEALTH,MEDICARE,15195.0,90,90,1.0,168.83
STANLEYTOWN HEALTH AND REHAB,COMMERCIAL_HMO,121510.0,502,641,1.28,242.05
STANLEYTOWN HEALTH AND REHAB,MEDICAID,3380.0,15,17,1.13,225.33
STANLEYTOWN HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,32850.0,171,171,1.0,192.11
STANLEYTOWN HEALTH AND REHAB,MEDICARE,65875.0,322,332,1.03,204.58
STANLEYTOWN HEALTH AND REHAB,TRICARE_CHAMPUS,2220.0,11,11,1.0,201.82
SUMMIT HEALTH AND REHAB,COMMERCIAL_HMO,186645.0,946,1007,1.06,197.3
SUMMIT HEALTH AND REHAB,MEDICAID,5545.0,30,30,1.0,184.83
SUMMIT HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,70015.0,366,371,1.01,191.3
SUMMIT HEALTH AND REHAB,MEDICARE,147880.0,787,787,1.0,187.9
THREE RIVERS HEALTH & REHAB CENTER,COMMERCIAL_HMO,15080.0,65,73,1.12,232.0
THREE RIVERS HEALTH & REHAB CENTER,MEDICAID,185.0,1,1,1.0,185.0
THREE RIVERS HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,12145.0,60,60,1.0,202.42
THREE RIVERS HEALTH & REHAB CENTER,MEDICARE,22390.0,108,108,1.0,207.31
VALLEY HEALTH CARE CENTER,COMMERCIAL_HMO,79670.0,359,431,1.2,221.92
VALLEY HEALTH CARE CENTER,MEDICAID,3105.0,18,18,1.0,172.5
VALLEY HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,8590.0,48,48,1.0,178.96
VALLEY HEALTH CARE CENTER,MEDICARE,33565.0,182,182,1.0,184.42
WATERVIEW HEALTH & REHAB CENTER,COMMERCIAL_HMO,85530.0,386,485,1.26,221.58
WATERVIEW HEALTH & REHAB CENTER,MEDICAID,1530.0,9,9,1.0,170.0
WATERVIEW HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,20885.0,116,116,1.0,180.04
WATERVIEW HEALTH & REHAB CENTER,MEDICARE,25815.0,151,151,1.0,170.96
WAVERLY REHABILITATION,COMMERCIAL_HMO,18130.0,104,108,1.04,174.33
WAVERLY REHABILITATION,MEDICAID,835.0,5,5,1.0,167.0
WAVERLY REHABILITATION,BLUE_CROSS_BLUE_SHIELD,10915.0,65,65,1.0,167.92
WAVERLY REHABILITATION,MEDICARE,10650.0,66,66,1.0,161.36
WESTMORELAND HEALTHCARE CENTER,COMMERCIAL_HMO,34425.0,197,197,1.0,174.75
WESTMORELAND HEALTHCARE CENTER,MEDICAID,925.0,5,5,1.0,185.0
WESTMORELAND HEALTHCARE CENTER,BLUE_CROSS_BLUE_SHIELD,17680.0,106,107,1.01,166.79
WESTMORELAND HEALTHCARE CENTER,MEDICARE,64325.0,376,376,1.0,171.08
WILSON HEALTHCARE AND REHAB,COMMERCIAL_HMO,39315.0,218,218,1.0,180.34
WILSON HEALTHCARE AND REHAB,MEDICAID,4615.0,27,27,1.0,170.93
WILSON HEALTHCARE AND REHAB,BLUE_CROSS_BLUE_SHIELD,3680.0,21,21,1.0,175.24
WILSON HEALTHCARE AND REHAB,MEDICARE,13355.0,77,77,1.0,173.44
WINDSOR REHABILITATION,COMMERCIAL_HMO,27725.0,138,140,1.01,200.91
WINDSOR REHABILITATION,MEDICAID,27980.0,146,146,1.0,191.64
WINDSOR REHABILITATION,BLUE_CROSS_BLUE_SHIELD,765.0,4,4,1.0,191.25
WINDSOR REHABILITATION,MEDICARE,24085.0,128,128,1.0,188.16
WOODLANDS HEALTH & REHAB,COMMERCIAL_HMO,25605.0,118,146,1.24,216.99
WOODLANDS HEALTH & REHAB,MEDICAID,1395.0,9,9,1.0,155.0
WOODLANDS HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,4000.0,24,24,1.0,166.67
WOODLANDS HEALTH & REHAB,MEDICARE,10055.0,60,60,1.0,167.58
