insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,3,3,1.0,465.0,155.0
WAVERLY REHAB AND HEALTH CENTER SNF - PAPER,3,3,1.0,550.0,183.33
TRUSTMARK HEALTH BENEFITS (CORESOURCE) - ECHO,3,3,1.0,865.0,288.33
AMERIGROUP/WELLPOINT,3,3,1.0,370.0,123.33
AETNA - GOLDEN MEDICARE (MEDICARE ADVANTAGE PLAN),3,3,1.0,595.0,198.33
DEN-PIPELINE INDUSTRY BENEFIT FUND,2,2,1.0,370.0,185.0
Loyal Christian Benefit Association,2,2,1.0,395.0,197.5
SAMBA,2,2,1.0,540.0,270.0
AMERIGROUP,2,2,1.0,370.0,185.0
AMERICO FINANCIAL LIFE & ANNUITY INSURANCE COMPANY,2,2,1.0,370.0,185.0
UNITEDHEALTHCARE COMMUNITY PLAN RIVER VALLEY,2,2,1.0,275.0,137.5
IOWA BLUE SHIELD,2,2,1.0,440.0,220.0
HEALTHSPRING INC.,2,2,1.0,370.0,185.0
DELAWARE FIRST HEALTH,2,2,1.0,325.0,162.5
LONGEVITY HEALTH PLAN OF NORTH CAROLINA,1,1,1.0,185.0,185.0
NEW HAMPSHIRE HEALTHY FAMILIES,1,1,1.0,185.0,185.0
TENNESSEE BLUE SHIELD,1,1,1.0,170.0,170.0
INDIANA MEDICAID,1,1,1.0,270.0,270.0
TENNCARE SELECT,1,1,1.0,185.0,185.0
FENYXHEALTH,1,1,1.0,185.0,185.0
MEDICAL MUTUAL OF OHIO - PROLINK,1,1,1.0,185.0,185.0
BIND,1,1,1.0,330.0,330.0
CALIFORNIA BLUE SHIELD,1,1,1.0,330.0,330.0
PHYSICIANS MUTUAL INSURANCE COMPANY,1,1,1.0,355.0,355.0
MAGNACARE,1,1,1.0,140.0,140.0
BANKERS FIDELITY,1,1,1.0,355.0,355.0
MERITAIN HEALTH MINNEAPOLIS,1,1,1.0,355.0,355.0
AMERICAN POSTAL WORKERS UNION,1,1,1.0,270.0,270.0
