code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99315,ALIGNMENT HEALTH CARE,1,1,1.0,145.0,145.0
99309,ALIGN SENIOR CARE OF VIRGINIA,6,6,1.0,1110.0,185.0
99308,ALIGN SENIOR CARE OF VIRGINIA,1,1,1.0,140.0,140.0
99310,AMERICAN POSTAL WORKERS UNION,1,1,1.0,270.0,270.0
99308,AMERICAN REPUBLIC INSURANCE (MAP),7,7,1.0,980.0,140.0
99309,AMERICAN REPUBLIC INSURANCE (MAP),4,4,1.0,740.0,185.0
99316,AMERICAN REPUBLIC INSURANCE (MAP),1,1,1.0,210.0,210.0
99309,AMERICO FINANCIAL LIFE & ANNUITY INSURANCE COMPANY,2,2,1.0,370.0,185.0
99309,AMERIGROUP,2,2,1.0,370.0,185.0
99308,AMERIGROUP/WELLPOINT,2,2,1.0,280.0,140.0
99307,AMERIGROUP/WELLPOINT,1,1,1.0,90.0,90.0
99309,ANTHEM BLUE CROSS,735,735,1.0,135975.0,185.0
99308,ANTHEM BLUE CROSS,252,252,1.0,35280.0,140.0
99310,ANTHEM BLUE CROSS,57,57,1.0,15390.0,270.0
99306,ANTHEM BLUE CROSS,49,49,1.0,16170.0,330.0
99316,ANTHEM BLUE CROSS,35,35,1.0,7350.0,210.0
99349,ANTHEM BLUE CROSS,24,24,1.0,6120.0,255.0
99305,ANTHEM BLUE CROSS,13,13,1.0,3380.0,260.0
99348,ANTHEM BLUE CROSS,10,10,1.0,1700.0,170.0
99350,ANTHEM BLUE CROSS,7,7,1.0,2485.0,355.0
99315,ANTHEM BLUE CROSS,4,4,1.0,580.0,145.0
G0444,ANTHEM BLUE CROSS,3,3,1.0,105.0,35.0
99497,ANTHEM BLUE CROSS,3,3,1.0,495.0,165.0
G8510,ANTHEM BLUE CROSS,2,2,1.0,0.02,0.01
99307,ANTHEM BLUE CROSS,1,1,1.0,90.0,90.0
99309,ANTHEM HEALTHKEEPERS PLUS,15,15,1.0,2775.0,185.0
99308,ANTHEM HEALTHKEEPERS PLUS,3,3,1.0,420.0,140.0
99306,ANTHEM HEALTHKEEPERS PLUS,1,1,1.0,330.0,330.0
99309,APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,8,8,1.0,1480.0,185.0
99308,APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,2,2,1.0,280.0,140.0
99350,BANKERS FIDELITY,1,1,1.0,355.0,355.0
99309,BANKERS LIFE AND CASUALTY,10,10,1.0,1850.0,185.0
99306,BANKERS LIFE AND CASUALTY,1,1,1.0,330.0,330.0
99349,BANKERS LIFE AND CASUALTY,1,1,1.0,255.0,255.0
99316,BANKERS LIFE AND CASUALTY,1,1,1.0,210.0,210.0
99306,BIND,1,1,1.0,330.0,330.0
99308,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,2,2,1.0,280.0,140.0
99309,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1,1,1.0,185.0,185.0
99309,BUILDERS MUTUAL WC,8,8,1.0,1480.0,185.0
99308,BUILDERS MUTUAL WC,1,1,1.0,140.0,140.0
99310,BUILDERS MUTUAL WC,1,1,1.0,270.0,270.0
99306,BUILDERS MUTUAL WC,1,1,1.0,330.0,330.0
99306,CALIFORNIA BLUE SHIELD,1,1,1.0,330.0,330.0
99309,CAREFIRST ADMINISTRATORS / NCAS,35,35,1.0,6475.0,185.0
99308,CAREFIRST ADMINISTRATORS / NCAS,12,12,1.0,1680.0,140.0
99310,CAREFIRST ADMINISTRATORS / NCAS,4,4,1.0,1080.0,270.0
99348,CAREFIRST ADMINISTRATORS / NCAS,1,1,1.0,170.0,170.0
99349,CAREFIRST ADMINISTRATORS / NCAS,1,1,1.0,255.0,255.0
99308,CARE IMPROVEMENT PLUS SOUTH CENTRAL INS. CO.,1,1,1.0,140.0,140.0
99309,CARE IMPROVEMENT PLUS SOUTH CENTRAL INS. CO.,1,1,1.0,185.0,185.0
99310,CARE IMPROVEMENT PLUS SOUTH CENTRAL INS. CO.,1,1,1.0,270.0,270.0
99309,CAROLINA COMPLETE HEALTH CARE,2,2,1.0,370.0,185.0
99308,CAROLINA COMPLETE HEALTH CARE,1,1,1.0,140.0,140.0
99309,CHAMPVA - HAC,80,80,1.0,14800.0,185.0
99308,CHAMPVA - HAC,24,24,1.0,3360.0,140.0
99310,CHAMPVA - HAC,12,12,1.0,3240.0,270.0
99306,CHAMPVA - HAC,4,4,1.0,1320.0,330.0
99316,CHAMPVA - HAC,3,3,1.0,630.0,210.0
99497,CHAMPVA - HAC,1,1,1.0,165.0,165.0
99349,CHAMPVA - HAC,1,1,1.0,255.0,255.0
99309,"CHCS SERVICES, INC.",5,5,1.0,925.0,185.0
99308,"CHCS SERVICES, INC.",1,1,1.0,140.0,140.0
99309,CIGNA HEALTHSPRING,4,4,1.0,740.0,185.0
99309,CIGNA PPO,38,38,1.0,7030.0,185.0
99310,CIGNA PPO,6,6,1.0,1620.0,270.0
99308,CIGNA PPO,5,5,1.0,700.0,140.0
99306,CIGNA PPO,3,3,1.0,990.0,330.0
99349,CIGNA PPO,3,3,1.0,765.0,255.0
99316,CIGNA PPO,1,1,1.0,210.0,210.0
99309,CLEAR SPRING HEALTH,3,3,1.0,555.0,185.0
99308,CLEAR SPRING HEALTH,1,1,1.0,140.0,140.0
99308,COLONIAL PENN LIFE INSURANCE COMPANY,3,3,1.0,420.0,140.0
99306,COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,330.0,330.0
99310,COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,270.0,270.0
99309,COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,185.0,185.0
99309,DELAWARE FIRST HEALTH,1,1,1.0,185.0,185.0
99308,DELAWARE FIRST HEALTH,1,1,1.0,140.0,140.0
99309,DEN-PIPELINE INDUSTRY BENEFIT FUND,2,2,1.0,370.0,185.0
99308,DEVOTED HEALTH,3,3,1.0,420.0,140.0
99315,DEVOTED HEALTH,1,1,1.0,145.0,145.0
99306,DEVOTED HEALTH,1,1,1.0,330.0,330.0
99309,DEVOTED HEALTH,1,1,1.0,185.0,185.0
99310,DEVOTED HEALTH,1,1,1.0,270.0,270.0
99308,EAST CAROLINA BEHAVIORAL HEALTH,7,7,1.0,980.0,140.0
99309,EAST CAROLINA BEHAVIORAL HEALTH,2,2,1.0,370.0,185.0
99310,EAST CAROLINA BEHAVIORAL HEALTH,2,2,1.0,540.0,270.0
99309,EVERENCE,13,13,1.0,2405.0,185.0
99316,EVERENCE,1,1,1.0,210.0,210.0
99310,EVERENCE,1,1,1.0,270.0,270.0
3044F,EVERENCE,1,1,1.0,0.01,0.01
99497,EVERENCE,1,1,1.0,165.0,165.0
99309,FENYXHEALTH,1,1,1.0,185.0,185.0
99309,FLORIDA MEDICAID,7,7,1.0,1295.0,185.0
99309,GENERIC PAYER (AUTO-FORWARDED),79,79,1.0,14615.0,185.0
99308,GENERIC PAYER (AUTO-FORWARDED),21,21,1.0,2940.0,140.0
99310,GENERIC PAYER (AUTO-FORWARDED),7,7,1.0,1890.0,270.0
99306,GENERIC PAYER (AUTO-FORWARDED),4,4,1.0,1320.0,330.0
99316,GENERIC PAYER (AUTO-FORWARDED),3,3,1.0,630.0,210.0
99305,GENERIC PAYER (AUTO-FORWARDED),3,3,1.0,780.0,260.0
99497,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,165.0,165.0
99315,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,145.0,145.0
99307,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,90.0,90.0
99349,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,255.0,255.0
99309,GEORGIA BLUE SHIELD,2,2,1.0,370.0,185.0
99306,GEORGIA BLUE SHIELD,1,1,1.0,330.0,330.0
99310,GEORGIA BLUE SHIELD,1,1,1.0,270.0,270.0
99309,GHI (GROUP HEALTH INC.),14,14,1.0,2590.0,185.0
99308,GHI (GROUP HEALTH INC.),5,5,1.0,700.0,140.0
99305,GHI (GROUP HEALTH INC.),1,1,1.0,260.0,260.0
99310,GHI (GROUP HEALTH INC.),1,1,1.0,270.0,270.0
99309,GLOBE LIFE INSURANCE CO OF NEW YORK,12,12,1.0,2220.0,185.0
99316,GLOBE LIFE INSURANCE CO OF NEW YORK,1,1,1.0,210.0,210.0
99309,GREAT SOUTHERN LIFE (MEDICARE SUPP),11,11,1.0,2035.0,185.0
99305,GREAT SOUTHERN LIFE (MEDICARE SUPP),1,1,1.0,260.0,260.0
99308,GREAT SOUTHERN LIFE (MEDICARE SUPP),1,1,1.0,140.0,140.0
99308,GREEK CATHOLIC UNION,3,3,1.0,420.0,140.0
99309,GREEK CATHOLIC UNION,2,2,1.0,370.0,185.0
99316,GREEK CATHOLIC UNION,1,1,1.0,210.0,210.0
99310,GREEK CATHOLIC UNION,1,1,1.0,270.0,270.0
99309,HEALTHKEEPERS INC.,5,5,1.0,925.0,185.0
99308,HEALTHKEEPERS INC.,3,3,1.0,420.0,140.0
99309,HEALTHSPRING INC.,2,2,1.0,370.0,185.0
99309,HEALTHTEAM ADVANTAGE,39,39,1.0,7215.0,185.0
99310,HEALTHTEAM ADVANTAGE,2,2,1.0,540.0,270.0
99306,HEALTHTEAM ADVANTAGE,2,2,1.0,660.0,330.0
99308,HEALTHTEAM ADVANTAGE,1,1,1.0,140.0,140.0
99309,HEALTHY BLUE NORTH CAROLINA,20,20,1.0,3700.0,185.0
99310,HEALTHY BLUE NORTH CAROLINA,1,1,1.0,270.0,270.0
99309,HORIZON BLUE SHIELD OF NEW JERSEY,12,12,1.0,2220.0,185.0
99308,HORIZON BLUE SHIELD OF NEW JERSEY,5,5,1.0,700.0,140.0
99349,HORIZON BLUE SHIELD OF NEW JERSEY,1,1,1.0,255.0,255.0
99309,HUMANA,1509,1509,1.0,279165.0,185.0
99308,HUMANA,481,481,1.0,67340.0,140.0
99310,HUMANA,208,208,1.0,56160.0,270.0
99306,HUMANA,130,130,1.0,42900.0,330.0
99316,HUMANA,52,52,1.0,10920.0,210.0
99315,HUMANA,18,18,1.0,2610.0,145.0
99305,HUMANA,14,14,1.0,3640.0,260.0
99349,HUMANA,14,14,1.0,3570.0,255.0
99307,HUMANA,13,13,1.0,1170.0,90.0
99497,HUMANA,12,12,1.0,1980.0,165.0
99348,HUMANA,7,7,1.0,1190.0,170.0
G8510,HUMANA,5,5,1.0,0.05,0.01
G8752,HUMANA,4,4,1.0,0.04,0.01
G8754,HUMANA,4,4,1.0,0.04,0.01
G0317,HUMANA,2,2,1.0,130.0,65.0
99350,HUMANA,1,1,1.0,355.0,355.0
20610,HUMANA,1,1,1.0,135.0,135.0
51702,HUMANA,1,1,1.0,125.0,125.0
25110,HUMANA,1,1,1.0,715.0,715.0
99309,ILLUMIFIN CORPORATION,24,24,1.0,4440.0,185.0
99308,ILLUMIFIN CORPORATION,6,6,1.0,840.0,140.0
99310,ILLUMIFIN CORPORATION,3,3,1.0,810.0,270.0
99349,ILLUMIFIN CORPORATION,2,2,1.0,510.0,255.0
99305,ILLUMIFIN CORPORATION,1,1,1.0,260.0,260.0
G8510,ILLUMIFIN CORPORATION,1,1,1.0,0.01,0.01
99306,ILLUMIFIN CORPORATION,1,1,1.0,330.0,330.0
99316,ILLUMIFIN CORPORATION,1,1,1.0,210.0,210.0
99309,INDIANA BLUE SHIELD,7,7,1.0,1295.0,185.0
99316,INDIANA BLUE SHIELD,1,1,1.0,210.0,210.0
G8510,INDIANA BLUE SHIELD,1,1,1.0,0.01,0.01
99310,INDIANA MEDICAID,1,1,1.0,270.0,270.0
99348,IOWA BLUE SHIELD,1,1,1.0,170.0,170.0
99310,IOWA BLUE SHIELD,1,1,1.0,270.0,270.0
99309,LIFEWORKS ADVANTAGE (ISNP PLAN),114,114,1.0,21090.0,185.0
99308,LIFEWORKS ADVANTAGE (ISNP PLAN),70,70,1.0,9800.0,140.0
99310,LIFEWORKS ADVANTAGE (ISNP PLAN),8,8,1.0,2160.0,270.0
99316,LIFEWORKS ADVANTAGE (ISNP PLAN),3,3,1.0,630.0,210.0
99305,LIFEWORKS ADVANTAGE (ISNP PLAN),3,3,1.0,780.0,260.0
99497,LIFEWORKS ADVANTAGE (ISNP PLAN),2,2,1.0,330.0,165.0
99315,LIFEWORKS ADVANTAGE (ISNP PLAN),1,1,1.0,145.0,145.0
99309,LONGEVITY HEALTH PLAN OF NORTH CAROLINA,1,1,1.0,185.0,185.0
99309,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,85,85,1.0,15725.0,185.0
99308,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,31,31,1.0,4340.0,140.0
99310,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,9,9,1.0,2430.0,270.0
99306,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,4,4,1.0,1320.0,330.0
99316,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,3,3,1.0,630.0,210.0
99305,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,2,2,1.0,520.0,260.0
99349,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,2,2,1.0,510.0,255.0
3014F,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,0.01,0.01
G8510,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,0.01,0.01
99497,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,165.0,165.0
99350,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,355.0,355.0
99309,Loyal Christian Benefit Association,1,1,1.0,185.0,185.0
99316,Loyal Christian Benefit Association,1,1,1.0,210.0,210.0
99309,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,91,91,1.0,16835.0,185.0
99308,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,28,28,1.0,3920.0,140.0
99305,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,2,2,1.0,520.0,260.0
G8433,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,0.01,0.01
99315,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,145.0,145.0
99306,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,330.0,330.0
99310,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,270.0,270.0
99316,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,210.0,210.0
99308,MAGNACARE,1,1,1.0,140.0,140.0
99309,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,14,14,1.0,2590.0,185.0
99308,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,2,2,1.0,280.0,140.0
99306,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,2,2,1.0,660.0,330.0
99497,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,2,2,1.0,330.0,165.0
99310,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,2,2,1.0,540.0,270.0
99316,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,210.0,210.0
99315,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,145.0,145.0
99309,MEDICAL MUTUAL OF OHIO - PROLINK,1,1,1.0,185.0,185.0
99309,MEDICO INSURANCE COMPANY,54,54,1.0,9990.0,185.0
99308,MEDICO INSURANCE COMPANY,11,11,1.0,1540.0,140.0
99349,MEDICO INSURANCE COMPANY,5,5,1.0,1275.0,255.0
99310,MEDICO INSURANCE COMPANY,4,4,1.0,1080.0,270.0
99306,MEDICO INSURANCE COMPANY,2,2,1.0,660.0,330.0
99350,MEDICO INSURANCE COMPANY,1,1,1.0,355.0,355.0
99305,MEDICO INSURANCE COMPANY,1,1,1.0,260.0,260.0
99350,MERITAIN HEALTH MINNEAPOLIS,1,1,1.0,355.0,355.0
99309,MICHIGAN BLUE SHIELD,9,9,1.0,1665.0,185.0
99308,MICHIGAN BLUE SHIELD,4,4,1.0,560.0,140.0
99310,MICHIGAN BLUE SHIELD,2,2,1.0,540.0,270.0
99497,MICHIGAN BLUE SHIELD,1,1,1.0,165.0,165.0
99316,MICHIGAN BLUE SHIELD,1,1,1.0,210.0,210.0
99309,MOLINA COMPLETE CARE OF VIRGINIA,127,127,1.0,23495.0,185.0
99308,MOLINA COMPLETE CARE OF VIRGINIA,48,48,1.0,6720.0,140.0
99307,MOLINA COMPLETE CARE OF VIRGINIA,14,14,1.0,1260.0,90.0
99306,MOLINA COMPLETE CARE OF VIRGINIA,10,10,1.0,3300.0,330.0
99310,MOLINA COMPLETE CARE OF VIRGINIA,6,6,1.0,1620.0,270.0
99305,MOLINA COMPLETE CARE OF VIRGINIA,2,2,1.0,520.0,260.0
99315,MOLINA COMPLETE CARE OF VIRGINIA,2,2,1.0,290.0,145.0
99309,MUTUAL OF OMAHA,305,305,1.0,56425.0,185.0
99308,MUTUAL OF OMAHA,114,114,1.0,15960.0,140.0
99310,MUTUAL OF OMAHA,33,33,1.0,8910.0,270.0
99349,MUTUAL OF OMAHA,18,18,1.0,4590.0,255.0
99306,MUTUAL OF OMAHA,18,18,1.0,5940.0,330.0
99316,MUTUAL OF OMAHA,15,15,1.0,3150.0,210.0
99305,MUTUAL OF OMAHA,9,9,1.0,2340.0,260.0
99497,MUTUAL OF OMAHA,6,6,1.0,990.0,165.0
99315,MUTUAL OF OMAHA,5,5,1.0,725.0,145.0
99348,MUTUAL OF OMAHA,5,5,1.0,850.0,170.0
99350,MUTUAL OF OMAHA,3,3,1.0,1065.0,355.0
G8510,MUTUAL OF OMAHA,2,2,1.0,0.02,0.01
G8433,MUTUAL OF OMAHA,1,1,1.0,0.01,0.01
90471,MUTUAL OF OMAHA,1,1,1.0,35.0,35.0
99309,NATIONAL ASSOCIATION OF LETTER CARRIERS,11,11,1.0,2035.0,185.0
99305,NATIONAL ASSOCIATION OF LETTER CARRIERS,1,1,1.0,260.0,260.0
99308,NATIONAL ASSOCIATION OF LETTER CARRIERS,1,1,1.0,140.0,140.0
99306,NATIONAL ASSOCIATION OF LETTER CARRIERS,1,1,1.0,330.0,330.0
G8510,NATIONAL ASSOCIATION OF LETTER CARRIERS,1,1,1.0,0.01,0.01
99350,NATIONAL ASSOCIATION OF LETTER CARRIERS,1,1,1.0,355.0,355.0
99309,NEW HAMPSHIRE HEALTHY FAMILIES,1,1,1.0,185.0,185.0
99309,NF-STATE FARM & PI ONLY,28,28,1.0,5180.0,185.0
99308,NF-STATE FARM & PI ONLY,8,8,1.0,1120.0,140.0
99310,NF-STATE FARM & PI ONLY,5,5,1.0,1350.0,270.0
99349,NF-STATE FARM & PI ONLY,2,2,1.0,510.0,255.0
99306,NF-STATE FARM & PI ONLY,2,2,1.0,660.0,330.0
99350,NF-STATE FARM & PI ONLY,1,1,1.0,355.0,355.0
G8510,NF-STATE FARM & PI ONLY,1,1,1.0,0.01,0.01
99316,NF-STATE FARM & PI ONLY,1,1,1.0,210.0,210.0
99309,NORTH CAROLINA BLUE SHIELD,407,411,1.01,76035.0,186.82
99310,NORTH CAROLINA BLUE SHIELD,68,70,1.03,18900.0,277.94
99308,NORTH CAROLINA BLUE SHIELD,55,55,1.0,7700.0,140.0
99316,NORTH CAROLINA BLUE SHIELD,25,26,1.04,5460.0,218.4
99306,NORTH CAROLINA BLUE SHIELD,23,23,1.0,7590.0,330.0
99497,NORTH CAROLINA BLUE SHIELD,13,13,1.0,2145.0,165.0
99406,NORTH CAROLINA BLUE SHIELD,3,3,1.0,105.0,35.0
99315,NORTH CAROLINA BLUE SHIELD,2,2,1.0,290.0,145.0
G0317,NORTH CAROLINA BLUE SHIELD,1,1,1.0,65.0,65.0
99349,NORTH CAROLINA BLUE SHIELD,1,1,1.0,255.0,255.0
99309,NORTH CAROLINA MEDICAID,938,938,1.0,173510.0,184.98
99308,NORTH CAROLINA MEDICAID,246,246,1.0,34440.0,140.0
99310,NORTH CAROLINA MEDICAID,96,96,1.0,25920.0,270.0
99306,NORTH CAROLINA MEDICAID,22,22,1.0,7260.0,330.0
99316,NORTH CAROLINA MEDICAID,5,5,1.0,1050.0,210.0
99315,NORTH CAROLINA MEDICAID,4,4,1.0,580.0,145.0
99307,NORTH CAROLINA MEDICAID,3,3,1.0,270.0,90.0
99497,NORTH CAROLINA MEDICAID,3,3,1.0,495.0,165.0
99309,NORTH CAROLINA MEDICARE,1446,1446,1.0,267510.0,185.0
99308,NORTH CAROLINA MEDICARE,242,242,1.0,33880.0,140.0
99310,NORTH CAROLINA MEDICARE,188,188,1.0,50760.0,270.0
99306,NORTH CAROLINA MEDICARE,48,48,1.0,15840.0,330.0
99316,NORTH CAROLINA MEDICARE,35,35,1.0,7350.0,210.0
99497,NORTH CAROLINA MEDICARE,35,35,1.0,5775.0,165.0
99315,NORTH CAROLINA MEDICARE,7,7,1.0,1015.0,145.0
99307,NORTH CAROLINA MEDICARE,4,4,1.0,360.0,90.0
G0317,NORTH CAROLINA MEDICARE,2,2,1.0,130.0,65.0
99305,NORTH CAROLINA MEDICARE,1,1,1.0,260.0,260.0
33993,NORTH CAROLINA MEDICARE,1,1,1.0,315.0,315.0
99309,OHIO BLUE SHIELD,10,10,1.0,1850.0,185.0
99308,OHIO BLUE SHIELD,6,6,1.0,840.0,140.0
99497,OHIO BLUE SHIELD,1,1,1.0,165.0,165.0
99309,OPTIMA FAMILY CARE,129,129,1.0,23865.0,185.0
99308,OPTIMA FAMILY CARE,67,67,1.0,9380.0,140.0
99306,OPTIMA FAMILY CARE,5,5,1.0,1650.0,330.0
99307,OPTIMA FAMILY CARE,4,4,1.0,360.0,90.0
99310,OPTIMA FAMILY CARE,2,2,1.0,540.0,270.0
99305,OPTIMA FAMILY CARE,1,1,1.0,260.0,260.0
69210,OPTIMA FAMILY CARE,1,1,1.0,100.0,100.0
99309,OPTIMA HEALTH PLANS,365,368,1.01,68080.0,186.52
99308,OPTIMA HEALTH PLANS,170,171,1.01,23940.0,140.82
99306,OPTIMA HEALTH PLANS,22,22,1.0,7260.0,330.0
99310,OPTIMA HEALTH PLANS,18,18,1.0,4860.0,270.0
99316,OPTIMA HEALTH PLANS,5,5,1.0,1050.0,210.0
99349,OPTIMA HEALTH PLANS,4,4,1.0,1020.0,255.0
99315,OPTIMA HEALTH PLANS,2,2,1.0,290.0,145.0
99305,OPTIMA HEALTH PLANS,2,2,1.0,520.0,260.0
99348,OPTIMA HEALTH PLANS,1,1,1.0,170.0,170.0
99307,OPTIMA HEALTH PLANS,1,1,1.0,90.0,90.0
99309,OPTUMCARE,50,50,1.0,9250.0,185.0
99308,OPTUMCARE,16,16,1.0,2240.0,140.0
99310,OPTUMCARE,7,7,1.0,1890.0,270.0
99306,OPTUMCARE,2,2,1.0,660.0,330.0
99305,OPTUMCARE,1,1,1.0,260.0,260.0
99350,PHYSICIANS MUTUAL INSURANCE COMPANY,1,1,1.0,355.0,355.0
99309,PIPELINE INDUSTRY BENEFIT FUND - PAPER,2,2,1.0,370.0,185.0
99305,PIPELINE INDUSTRY BENEFIT FUND - PAPER,1,1,1.0,260.0,260.0
99308,PRINCIPAL LIFE MEDICARE SUPPLEMENT,3,3,1.0,420.0,140.0
99315,PRINCIPAL LIFE MEDICARE SUPPLEMENT,1,1,1.0,145.0,145.0
99309,RETIRED RAILROAD MEDICARE,19,19,1.0,3515.0,185.0
99308,RETIRED RAILROAD MEDICARE,10,10,1.0,1400.0,140.0
99310,RETIRED RAILROAD MEDICARE,4,4,1.0,1080.0,270.0
99306,RETIRED RAILROAD MEDICARE,3,3,1.0,990.0,330.0
99349,RETIRED RAILROAD MEDICARE,1,1,1.0,255.0,255.0
99305,RETIRED RAILROAD MEDICARE,1,1,1.0,260.0,260.0
99316,RETIRED RAILROAD MEDICARE,1,1,1.0,210.0,210.0
99309,SAMBA,1,1,1.0,185.0,185.0
99350,SAMBA,1,1,1.0,355.0,355.0
