facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,1660.0,9,9,1.0,184.44
HARMONY PARK AT WILSON,MEDICARE,11505.0,67,67,1.0,171.72
HERITAGE GREEN,COMMERCIAL_HMO,1080.0,8,8,1.0,135.0
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,765.0,3,3,1.0,255.0
HERITAGE GREEN,MEDICARE,2955.0,20,21,1.05,147.75
HERITAGE HALL OF BLACKSBURG,COMMERCIAL_HMO,7385.0,41,41,1.0,180.12
HERITAGE HALL OF BLACKSBURG,BLUE_CROSS_BLUE_SHIELD,780.0,4,4,1.0,195.0
HERITAGE HALL OF BLACKSBURG,MEDICARE,11757.5,69,70,1.01,170.4
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,8790.0,42,42,1.0,209.29
HERTFORD REHABILITATION AND HC,MEDICAID,6955.0,36,36,1.0,193.19
HERTFORD REHABILITATION AND HC,MEDICARE,3855.0,19,19,1.0,202.89
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,31510.0,167,168,1.01,188.68
HIGHLAND RIDGE REHAB,MEDICAID,1975.0,10,10,1.0,197.5
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,10465.0,57,57,1.0,183.6
HIGHLAND RIDGE REHAB,MEDICARE,14025.0,80,80,1.0,175.31
HOLLY MANOR,COMMERCIAL_HMO,15360.0,79,79,1.0,194.43
HOLLY MANOR,BLUE_CROSS_BLUE_SHIELD,6580.0,36,36,1.0,182.78
HOLLY MANOR,MEDICARE,18790.0,104,104,1.0,180.67
KENANSVILLE REHAB AND HEALTHCARE,COMMERCIAL_HMO,5925.0,31,31,1.0,191.13
KENANSVILLE REHAB AND HEALTHCARE,MEDICAID,3075.0,17,17,1.0,180.88
KENANSVILLE REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,1340.0,6,6,1.0,223.33
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,11030.0,60,60,1.0,183.83
LAUREL PARK REHAB,COMMERCIAL_HMO,8500.0,36,43,1.19,236.11
LAUREL PARK REHAB,MEDICAID,3505.0,19,19,1.0,184.47
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,580.0,3,3,1.0,193.33
LAUREL PARK REHAB,MEDICARE,7780.0,40,43,1.08,194.5
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,33545.0,181,181,1.0,185.33
LEXINGTON HEALTH CARE CENTER,MEDICAID,1110.0,6,6,1.0,185.0
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,8175.0,41,41,1.0,199.39
LEXINGTON HEALTH CARE CENTER,MEDICARE,13375.0,74,74,1.0,180.74
LIFE CARE CENTER OF NEW MARKET,COMMERCIAL_HMO,13555.03,70,73,1.04,193.64
LIFE CARE CENTER OF NEW MARKET,MEDICAID,1620.01,9,10,1.11,180.0
LIFE CARE CENTER OF NEW MARKET,BLUE_CROSS_BLUE_SHIELD,7615.03,38,41,1.08,200.4
LIFE CARE CENTER OF NEW MARKET,MEDICARE,34515.11,176,188,1.07,196.11
MOUNTAIN LAUREL,COMMERCIAL_HMO,24120.0,119,119,1.0,202.69
MOUNTAIN LAUREL,MEDICAID,140.0,1,1,1.0,140.0
MOUNTAIN LAUREL,BLUE_CROSS_BLUE_SHIELD,3705.0,18,18,1.0,205.83
MOUNTAIN LAUREL,MEDICARE,5555.0,26,26,1.0,213.65
NORTHERN NECK-ALF,COMMERCIAL_HMO,255.0,1,1,1.0,255.0
NORTHERN NECK-ALF,MEDICARE,610.0,2,2,1.0,305.0
NORTHERN NECK SENIOR CARE COMMUNITY,COMMERCIAL_HMO,9870.0,49,49,1.0,201.43
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICAID,370.0,2,2,1.0,185.0
NORTHERN NECK SENIOR CARE COMMUNITY,BLUE_CROSS_BLUE_SHIELD,5205.0,26,26,1.0,200.19
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICARE,15235.0,73,73,1.0,208.7
NOVA HEALTH AND REHAB CENTER,COMMERCIAL_HMO,1925.0,11,11,1.0,175.0
OAKWOOD MANOR,COMMERCIAL_HMO,470.0,2,2,1.0,235.0
PEAK RESOURCES OUTER BANKS,COMMERCIAL_HMO,2350.0,13,13,1.0,180.77
PEAK RESOURCES OUTER BANKS,MEDICAID,1790.0,9,9,1.0,198.89
PEAK RESOURCES OUTER BANKS,MEDICARE,10700.0,53,55,1.04,201.89
Piedmont Health and Rehab,COMMERCIAL_HMO,6125.0,35,35,1.0,175.0
Piedmont Health and Rehab,BLUE_CROSS_BLUE_SHIELD,790.0,5,5,1.0,158.0
Piedmont Health and Rehab,MEDICARE,2590.0,15,15,1.0,172.67
PINEY FOREST HEALTH AND REHAB,COMMERCIAL_HMO,24395.01,137,140,1.02,178.07
PINEY FOREST HEALTH AND REHAB,MEDICAID,1855.0,11,11,1.0,168.64
PINEY FOREST HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,3825.0,22,22,1.0,173.86
PINEY FOREST HEALTH AND REHAB,MEDICARE,7910.0,43,44,1.02,183.95
PULASKI HEALTH & REHAB,COMMERCIAL_HMO,21470.0,116,118,1.02,185.09
PULASKI HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,10100.0,56,57,1.02,180.36
PULASKI HEALTH & REHAB,MEDICARE,25865.0,145,145,1.0,178.38
RADFORD HEALTH & REHAB,COMMERCIAL_HMO,11135.0,64,64,1.0,173.98
RADFORD HEALTH & REHAB,MEDICAID,185.0,1,1,1.0,185.0
RADFORD HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,11940.0,73,73,1.0,163.56
RADFORD HEALTH & REHAB,MEDICARE,19525.0,115,115,1.0,169.78
RIDGECREST MANOR NURSING AND REHAB,COMMERCIAL_HMO,26140.0,164,164,1.0,159.39
RIDGECREST MANOR NURSING AND REHAB,MEDICAID,2790.0,14,14,1.0,199.29
RIDGECREST MANOR NURSING AND REHAB,BLUE_CROSS_BLUE_SHIELD,650.0,4,4,1.0,162.5
RIDGECREST MANOR NURSING AND REHAB,MEDICARE,7995.0,62,62,1.0,128.95
RIVERSIDE HEALTH AND REHAB,COMMERCIAL_HMO,26475.0,141,141,1.0,187.77
RIVERSIDE HEALTH AND REHAB,MEDICAID,865.0,4,4,1.0,216.25
RIVERSIDE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,4320.0,27,27,1.0,160.0
RIVERSIDE HEALTH AND REHAB,MEDICARE,19740.0,116,116,1.0,170.17
RUNK AND PRATT AT WILLOW RIDGE,BLUE_CROSS_BLUE_SHIELD,110.0,1,1,1.0,110.0
RUNK AND PRATT AT WILLOW RIDGE,MEDICARE,1220.0,4,4,1.0,305.0
RUNK & PRATT- FOREST,COMMERCIAL_HMO,725.0,5,6,1.2,145.0
RUNK & PRATT- FOREST,MEDICAID,340.0,2,2,1.0,170.0
RUNK & PRATT- FOREST,BLUE_CROSS_BLUE_SHIELD,425.0,2,2,1.0,212.5
RUNK & PRATT- FOREST,MEDICARE,2385.0,12,12,1.0,198.75
RUNK & PRATT-LEESVILLE,COMMERCIAL_HMO,1485.0,7,7,1.0,212.14
RUNK & PRATT-LEESVILLE,MEDICARE,730.0,5,5,1.0,146.0
RUNK & PRATT- LIBERTY RIDGE,COMMERCIAL_HMO,1220.0,4,4,1.0,305.0
RUNK & PRATT- LIBERTY RIDGE,MEDICARE,1130.0,5,5,1.0,226.0
RUNK & PRATT- PEARL OF LIFE,COMMERCIAL_HMO,525.0,2,2,1.0,262.5
RUNK & PRATT- PEARL OF LIFE,MEDICARE,2405.0,10,10,1.0,240.5
RUNK & PRATT- SMITH MOUNTAIN LAKE,COMMERCIAL_HMO,865.0,3,3,1.0,288.33
RUNK & PRATT- SMITH MOUNTAIN LAKE,BLUE_CROSS_BLUE_SHIELD,255.0,1,1,1.0,255.0
RUNK & PRATT- SMITH MOUNTAIN LAKE,MEDICARE,3790.0,15,16,1.07,252.67
SALEM HEALTH & REHAB,COMMERCIAL_HMO,44817.34,240,242,1.01,186.74
SALEM HEALTH & REHAB,MEDICAID,3675.0,19,19,1.0,193.42
SALEM HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,7470.0,41,41,1.0,182.2
SALEM HEALTH & REHAB,MEDICARE,28190.0,164,164,1.0,171.89
SHENANDOAH VALLEY HEALTH,COMMERCIAL_HMO,8685.0,46,46,1.0,188.8
SHENANDOAH VALLEY HEALTH,BLUE_CROSS_BLUE_SHIELD,2035.0,10,10,1.0,203.5
SHENANDOAH VALLEY HEALTH,MEDICARE,5160.0,27,27,1.0,191.11
STANLEYTOWN HEALTH AND REHAB,COMMERCIAL_HMO,30700.0,167,172,1.03,183.83
STANLEYTOWN HEALTH AND REHAB,MEDICAID,2690.0,16,16,1.0,168.13
STANLEYTOWN HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,10025.0,53,54,1.02,189.15
STANLEYTOWN HEALTH AND REHAB,MEDICARE,26310.0,146,148,1.01,180.21
SUMMIT HEALTH AND REHAB,COMMERCIAL_HMO,27900.0,142,142,1.0,196.48
SUMMIT HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,7595.0,37,37,1.0,205.27
SUMMIT HEALTH AND REHAB,MEDICARE,39340.0,205,205,1.0,191.9
The Rehab Center of Bristol,COMMERCIAL_HMO,11630.0,67,67,1.0,173.58
The Rehab Center of Bristol,BLUE_CROSS_BLUE_SHIELD,1580.0,7,7,1.0,225.71
The Rehab Center of Bristol,MEDICARE,9555.0,61,61,1.0,156.64
THREE RIVERS HEALTH & REHAB CENTER,COMMERCIAL_HMO,1320.0,7,7,1.0,188.57
THREE RIVERS HEALTH & REHAB CENTER,MEDICAID,370.0,2,2,1.0,185.0
THREE RIVERS HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,1645.0,9,9,1.0,182.78
THREE RIVERS HEALTH & REHAB CENTER,MEDICARE,11220.0,55,55,1.0,204.0
VALLEY HEALTH CARE CENTER,COMMERCIAL_HMO,22195.0,125,125,1.0,177.56
VALLEY HEALTH CARE CENTER,MEDICAID,1010.0,5,5,1.0,202.0
VALLEY HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,1105.0,6,6,1.0,184.17
VALLEY HEALTH CARE CENTER,MEDICARE,7240.0,43,43,1.0,168.37
WARSAW HEALTH AND REHAB,COMMERCIAL_HMO,4155.0,24,24,1.0,173.13
WARSAW HEALTH AND REHAB,MEDICAID,1635.0,7,7,1.0,233.57
WARSAW HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,540.0,2,2,1.0,270.0
WARSAW HEALTH AND REHAB,MEDICARE,4010.0,23,23,1.0,174.35
WATERVIEW HEALTH & REHAB CENTER,COMMERCIAL_HMO,21990.0,128,128,1.0,171.8
WATERVIEW HEALTH & REHAB CENTER,MEDICAID,1530.0,9,9,1.0,170.0
WATERVIEW HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,8700.0,50,50,1.0,174.0
WATERVIEW HEALTH & REHAB CENTER,MEDICARE,15475.0,92,92,1.0,168.21
WAVERLY REHABILITATION,COMMERCIAL_HMO,11235.0,61,61,1.0,184.18
WAVERLY REHABILITATION,MEDICAID,640.0,3,3,1.0,213.33
WAVERLY REHABILITATION,BLUE_CROSS_BLUE_SHIELD,3260.0,16,16,1.0,203.75
WAVERLY REHABILITATION,MEDICARE,13640.0,71,71,1.0,192.11
WESTMORELAND HEALTHCARE CENTER,COMMERCIAL_HMO,1000.0,5,5,1.0,200.0
WESTMORELAND HEALTHCARE CENTER,BLUE_CROSS_BLUE_SHIELD,3200.0,17,19,1.12,188.24
WESTMORELAND HEALTHCARE CENTER,MEDICARE,29135.0,167,169,1.01,174.46
WILSON HEALTHCARE AND REHAB,COMMERCIAL_HMO,11685.0,68,68,1.0,171.84
WILSON HEALTHCARE AND REHAB,MEDICAID,185.0,1,1,1.0,185.0
WILSON HEALTHCARE AND REHAB,BLUE_CROSS_BLUE_SHIELD,1255.0,8,8,1.0,156.88
WILSON HEALTHCARE AND REHAB,MEDICARE,9645.0,56,56,1.0,172.23
WINDSOR REHABILITATION,COMMERCIAL_HMO,5050.0,25,25,1.0,202.0
WINDSOR REHABILITATION,MEDICAID,6260.0,32,32,1.0,195.63
WINDSOR REHABILITATION,BLUE_CROSS_BLUE_SHIELD,640.0,3,3,1.0,213.33
WINDSOR REHABILITATION,MEDICARE,10160.0,52,52,1.0,195.38
WOODLANDS HEALTH & REHAB,COMMERCIAL_HMO,4975.0,33,33,1.0,150.76
WOODLANDS HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,350.0,2,2,1.0,175.0
WOODLANDS HEALTH & REHAB,MEDICARE,6195.0,41,41,1.0,151.1
