code,claim_insurance_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99349,BLUE_CROSS_BLUE_SHIELD,35,35,1.0,8925.0,255.0
99315,BLUE_CROSS_BLUE_SHIELD,24,25,1.04,3625.0,151.04
99497,BLUE_CROSS_BLUE_SHIELD,21,21,1.0,3465.0,165.0
99307,BLUE_CROSS_BLUE_SHIELD,18,18,1.0,1620.0,90.0
99305,BLUE_CROSS_BLUE_SHIELD,15,15,1.0,3900.0,260.0
99350,BLUE_CROSS_BLUE_SHIELD,12,12,1.0,4260.0,355.0
G0444,BLUE_CROSS_BLUE_SHIELD,8,9,1.13,315.0,39.38
G8510,BLUE_CROSS_BLUE_SHIELD,4,4,1.0,0.04,0.01
69209,BLUE_CROSS_BLUE_SHIELD,4,4,1.0,120.0,30.0
99348,BLUE_CROSS_BLUE_SHIELD,4,4,1.0,680.0,170.0
99304,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,180.0,180.0
99407,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,60.0,60.0
93793,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,25.0,25.0
99406,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,35.0,35.0
99309,MEDICARE,5339,5339,1.0,987695.0,185.0
99308,MEDICARE,1633,1633,1.0,228620.0,140.0
99310,MEDICARE,523,523,1.0,141210.0,270.0
99306,MEDICARE,322,322,1.0,106260.0,330.0
99316,MEDICARE,161,161,1.0,33805.0,209.97
99349,MEDICARE,107,107,1.0,27285.0,255.0
99497,MEDICARE,72,72,1.0,11880.0,165.0
99315,MEDICARE,47,47,1.0,6815.0,145.0
99307,MEDICARE,42,42,1.0,3780.0,90.0
99350,MEDICARE,33,33,1.0,11715.0,355.0
99305,MEDICARE,31,31,1.0,8060.0,260.0
99348,MEDICARE,28,28,1.0,4760.0,170.0
G8510,MEDICARE,21,21,1.0,0.21,0.01
90471,MEDICARE,9,9,1.0,315.0,35.0
69209,MEDICARE,5,5,1.0,150.0,30.0
G0444,MEDICARE,4,4,1.0,140.0,35.0
G8433,MEDICARE,2,2,1.0,0.02,0.01
G8431,MEDICARE,2,2,1.0,80.0,40.0
G9717,MEDICARE,1,1,1.0,0.01,0.01
99406,MEDICARE,1,1,1.0,35.0,35.0
99407,MEDICARE,1,1,1.0,60.0,60.0
G0317,MEDICARE,1,1,1.0,65.0,65.0
93793,MEDICARE,1,1,1.0,25.0,25.0
99309,TRICARE_CHAMPUS,51,51,1.0,9435.0,185.0
99308,TRICARE_CHAMPUS,6,6,1.0,840.0,140.0
99310,TRICARE_CHAMPUS,3,3,1.0,810.0,270.0
99306,TRICARE_CHAMPUS,3,3,1.0,990.0,330.0
99349,TRICARE_CHAMPUS,1,1,1.0,255.0,255.0
99316,TRICARE_CHAMPUS,1,1,1.0,210.0,210.0
99309,WORKERS_COMPENSATION,22,22,1.0,4070.0,185.0
99308,WORKERS_COMPENSATION,5,5,1.0,700.0,140.0
99310,WORKERS_COMPENSATION,3,3,1.0,810.0,270.0
99306,WORKERS_COMPENSATION,2,2,1.0,660.0,330.0
99349,WORKERS_COMPENSATION,2,2,1.0,510.0,255.0
G0444,WORKERS_COMPENSATION,1,1,1.0,35.0,35.0
99315,WORKERS_COMPENSATION,1,1,1.0,145.0,145.0
99309,SELF_PAY,5,5,1.0,925.0,185.0
99310,SELF_PAY,2,2,1.0,540.0,270.0
99497,SELF_PAY,1,1,1.0,165.0,165.0
99306,SELF_PAY,1,1,1.0,330.0,330.0
