code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99315,AETNA - PPO,3,3,1.0,435.0,145.0
G8510,AETNA - PPO,2,2,1.0,0.02,0.01
11719,AETNA - PPO,1,1,1.0,30.0,30.0
20610,AETNA - PPO,1,1,1.0,135.0,135.0
99307,AETNA - PPO,1,1,1.0,90.0,90.0
99309,AETNA SSI,166,166,1.0,30710.0,185.0
99308,AETNA SSI,58,58,1.0,8120.0,140.0
99310,AETNA SSI,15,15,1.0,4050.0,270.0
99306,AETNA SSI,10,10,1.0,3300.0,330.0
99349,AETNA SSI,9,9,1.0,2295.0,255.0
99348,AETNA SSI,9,9,1.0,1530.0,170.0
99305,AETNA SSI,5,5,1.0,1300.0,260.0
99497,AETNA SSI,4,4,1.0,660.0,165.0
99350,AETNA SSI,4,4,1.0,1420.0,355.0
99316,AETNA SSI,3,3,1.0,630.0,210.0
99315,AETNA SSI,2,2,1.0,290.0,145.0
G8752,AETNA SSI,2,2,1.0,0.02,0.01
G8754,AETNA SSI,2,2,1.0,0.02,0.01
G8510,AETNA SSI,1,1,1.0,0.01,0.01
99309,ALIGNMENT HEALTH CARE,15,15,1.0,2775.0,185.0
99308,ALIGNMENT HEALTH CARE,5,5,1.0,700.0,140.0
99310,ALIGNMENT HEALTH CARE,3,3,1.0,810.0,270.0
99308,ALIGN SENIOR CARE OF VIRGINIA,4,4,1.0,560.0,140.0
99309,ALIGN SENIOR CARE OF VIRGINIA,2,2,1.0,370.0,185.0
99309,AMERICAN POSTAL WORKERS UNION,1,1,1.0,185.0,185.0
99309,AMERICAN REPUBLIC INSURANCE (MAP),3,3,1.0,555.0,185.0
99308,AMERICAN REPUBLIC INSURANCE (MAP),3,3,1.0,420.0,140.0
99306,AMERICAN REPUBLIC INSURANCE (MAP),1,1,1.0,330.0,330.0
99310,AMERICAN REPUBLIC INSURANCE (MAP),1,1,1.0,270.0,270.0
99308,AMERIGROUP CORPORATION,1,1,1.0,140.0,140.0
99308,AMERIGROUP/WELLPOINT,1,1,1.0,140.0,140.0
99309,AMERIGROUP/WELLPOINT,1,1,1.0,185.0,185.0
99310,AMERIGROUP/WELLPOINT,1,1,1.0,270.0,270.0
99309,AMERIHEALTH CARITAS NORTH CAROLINA,1,1,1.0,185.0,185.0
99309,ANTHEM BLUE CROSS,692,692,1.0,128020.0,185.0
99308,ANTHEM BLUE CROSS,239,239,1.0,33460.0,140.0
99310,ANTHEM BLUE CROSS,60,60,1.0,16200.0,270.0
99306,ANTHEM BLUE CROSS,52,52,1.0,17160.0,330.0
99349,ANTHEM BLUE CROSS,13,13,1.0,3315.0,255.0
99305,ANTHEM BLUE CROSS,11,11,1.0,2860.0,260.0
99350,ANTHEM BLUE CROSS,8,8,1.0,2840.0,355.0
99348,ANTHEM BLUE CROSS,5,5,1.0,850.0,170.0
99497,ANTHEM BLUE CROSS,5,5,1.0,825.0,165.0
99316,ANTHEM BLUE CROSS,4,4,1.0,840.0,210.0
G8510,ANTHEM BLUE CROSS,3,3,1.0,0.03,0.01
G8754,ANTHEM BLUE CROSS,3,3,1.0,0.03,0.01
G8752,ANTHEM BLUE CROSS,3,3,1.0,0.03,0.01
99307,ANTHEM BLUE CROSS,2,2,1.0,180.0,90.0
99315,ANTHEM BLUE CROSS,2,2,1.0,290.0,145.0
G8433,ANTHEM BLUE CROSS,2,2,1.0,0.02,0.01
G8753,ANTHEM BLUE CROSS,1,1,1.0,0.01,0.01
G8755,ANTHEM BLUE CROSS,1,1,1.0,0.01,0.01
3044F,ANTHEM BLUE CROSS,1,1,1.0,0.01,0.01
99309,ANTHEM HEALTHKEEPERS PLUS,16,16,1.0,2960.0,185.0
99308,ANTHEM HEALTHKEEPERS PLUS,6,6,1.0,840.0,140.0
99306,ANTHEM HEALTHKEEPERS PLUS,1,1,1.0,330.0,330.0
99316,ANTHEM HEALTHKEEPERS PLUS,1,1,1.0,210.0,210.0
99307,ANTHEM HEALTHKEEPERS PLUS,1,1,1.0,90.0,90.0
99309,APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,2,2,1.0,370.0,185.0
99309,ARKANSAS BLUE SHIELD,3,3,1.0,555.0,185.0
99306,ARKANSAS BLUE SHIELD,1,1,1.0,330.0,330.0
99310,ARKANSAS BLUE SHIELD,1,1,1.0,270.0,270.0
99309,ARKANSAS MEDICAID,1,1,1.0,185.0,185.0
99309,BANKERS LIFE AND CASUALTY,1,1,1.0,185.0,185.0
99309,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,6,6,1.0,1110.0,185.0
99497,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1,1,1.0,165.0,165.0
99308,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1,1,1.0,140.0,140.0
99310,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,1,1,1.0,270.0,270.0
99309,CALIFORNIA BLUE SHIELD,6,6,1.0,1110.0,185.0
99348,CALIFORNIA BLUE SHIELD,1,1,1.0,170.0,170.0
99309,CAREFIRST ADMINISTRATORS / NCAS,19,19,1.0,3515.0,185.0
99308,CAREFIRST ADMINISTRATORS / NCAS,6,6,1.0,840.0,140.0
99310,CAREFIRST ADMINISTRATORS / NCAS,2,2,1.0,540.0,270.0
99306,CAREFIRST ADMINISTRATORS / NCAS,1,1,1.0,330.0,330.0
99309,CAROLINA COMPLETE HEALTH CARE,14,14,1.0,2590.0,185.0
99308,CAROLINA COMPLETE HEALTH CARE,3,3,1.0,420.0,140.0
99310,CAROLINA COMPLETE HEALTH CARE,2,2,1.0,540.0,270.0
99309,CHAMPVA - HAC,53,53,1.0,9805.0,185.0
99308,CHAMPVA - HAC,14,14,1.0,1960.0,140.0
99310,CHAMPVA - HAC,5,5,1.0,1350.0,270.0
99306,CHAMPVA - HAC,5,5,1.0,1650.0,330.0
99349,CHAMPVA - HAC,1,1,1.0,255.0,255.0
99316,CHAMPVA - HAC,1,1,1.0,210.0,210.0
99497,CHAMPVA - HAC,1,1,1.0,165.0,165.0
99309,"CHCS SERVICES, INC.",16,16,1.0,2960.0,185.0
99310,"CHCS SERVICES, INC.",2,2,1.0,540.0,270.0
99308,"CHCS SERVICES, INC.",1,1,1.0,140.0,140.0
99309,CIGNA HEALTHSPRING,8,8,1.0,1480.0,185.0
99315,CIGNA HEALTHSPRING,1,1,1.0,145.0,145.0
99308,CIGNA HEALTHSPRING,1,1,1.0,140.0,140.0
99309,CIGNA PPO,20,20,1.0,3700.0,185.0
99308,CIGNA PPO,7,7,1.0,980.0,140.0
99310,CIGNA PPO,4,4,1.0,1080.0,270.0
99306,CIGNA PPO,2,2,1.0,660.0,330.0
99349,CIGNA PPO,2,2,1.0,510.0,255.0
99316,CIGNA PPO,1,1,1.0,210.0,210.0
99307,CIGNA PPO,1,1,1.0,90.0,90.0
99305,CIGNA PPO,1,1,1.0,260.0,260.0
93308,CIGNA PPO,1,1,1.0,55.0,55.0
99497,CIGNA PPO,1,1,1.0,165.0,165.0
99309,CLEAR SPRING HEALTH,5,5,1.0,925.0,185.0
99310,CLEAR SPRING HEALTH,1,1,1.0,270.0,270.0
99308,CLEAR SPRING HEALTH,1,1,1.0,140.0,140.0
99309,COLONIAL PENN LIFE INSURANCE COMPANY,3,3,1.0,555.0,185.0
99310,COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,270.0,270.0
99306,COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,330.0,330.0
99309,DEN-PIPELINE INDUSTRY BENEFIT FUND,8,8,1.0,1480.0,185.0
99308,DEN-PIPELINE INDUSTRY BENEFIT FUND,2,2,1.0,280.0,140.0
G8754,DEN-PIPELINE INDUSTRY BENEFIT FUND,1,1,1.0,0.01,0.01
G8752,DEN-PIPELINE INDUSTRY BENEFIT FUND,1,1,1.0,0.01,0.01
99309,DEVOTED HEALTH,6,6,1.0,1110.0,185.0
99310,DEVOTED HEALTH,2,2,1.0,540.0,270.0
99306,DEVOTED HEALTH,1,1,1.0,330.0,330.0
99308,EAST CAROLINA BEHAVIORAL HEALTH,1,1,1.0,140.0,140.0
99310,FLORIDA BLUE SHIELD,1,1,1.0,270.0,270.0
99308,FLORIDA BLUE SHIELD,1,1,1.0,140.0,140.0
99309,FLORIDA MEDICAID,6,6,1.0,1110.0,185.0
99308,FLORIDA MEDICAID,3,3,1.0,420.0,140.0
99309,GENERIC PAYER (AUTO-FORWARDED),42,42,1.0,7770.0,185.0
99308,GENERIC PAYER (AUTO-FORWARDED),11,11,1.0,1540.0,140.0
99310,GENERIC PAYER (AUTO-FORWARDED),5,5,1.0,1350.0,270.0
99497,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,165.0,165.0
99316,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,210.0,210.0
99305,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,260.0,260.0
99309,GEORGIA BLUE SHIELD,13,13,1.0,2405.0,185.0
99306,GEORGIA BLUE SHIELD,1,1,1.0,330.0,330.0
99310,GEORGIA BLUE SHIELD,1,1,1.0,270.0,270.0
99309,GHI (GROUP HEALTH INC.),6,6,1.0,1110.0,185.0
99308,GHI (GROUP HEALTH INC.),2,2,1.0,280.0,140.0
99310,GHI (GROUP HEALTH INC.),1,1,1.0,270.0,270.0
99309,GLOBE LIFE INSURANCE CO OF NEW YORK,2,2,1.0,370.0,185.0
99316,GLOBE LIFE INSURANCE CO OF NEW YORK,1,1,1.0,210.0,210.0
99309,GREAT SOUTHERN LIFE (MEDICARE SUPP),4,4,1.0,740.0,185.0
99308,GREAT SOUTHERN LIFE (MEDICARE SUPP),1,1,1.0,140.0,140.0
99305,GREEK CATHOLIC UNION,1,1,1.0,260.0,260.0
99309,HEALTH CARE SERVICE CORPORATION DBA BCBS OF IL,3,3,1.0,555.0,185.0
99305,HEALTH CARE SERVICE CORPORATION DBA BCBS OF IL,1,1,1.0,260.0,260.0
99316,HEALTH CARE SERVICE CORPORATION DBA BCBS OF IL,1,1,1.0,210.0,210.0
99310,HEALTH CARE SERVICE CORPORATION DBA BCBS OF IL,1,1,1.0,270.0,270.0
99309,HEALTHKEEPERS INC.,8,8,1.0,1480.0,185.0
99306,HEALTHKEEPERS INC.,1,1,1.0,330.0,330.0
99316,HEALTHKEEPERS INC.,1,1,1.0,210.0,210.0
99309,HEALTHTEAM ADVANTAGE,35,35,1.0,6475.0,185.0
99308,HEALTHTEAM ADVANTAGE,13,13,1.0,1820.0,140.0
99310,HEALTHTEAM ADVANTAGE,6,6,1.0,1620.0,270.0
99306,HEALTHTEAM ADVANTAGE,3,3,1.0,990.0,330.0
99316,HEALTHTEAM ADVANTAGE,1,1,1.0,210.0,210.0
99309,HEALTHY BLUE NORTH CAROLINA,14,14,1.0,2590.0,185.0
99310,HEALTHY BLUE NORTH CAROLINA,1,1,1.0,270.0,270.0
99309,HORIZON BLUE SHIELD OF NEW JERSEY,8,8,1.0,1480.0,185.0
99308,HORIZON BLUE SHIELD OF NEW JERSEY,4,4,1.0,560.0,140.0
99306,HORIZON BLUE SHIELD OF NEW JERSEY,1,1,1.0,330.0,330.0
99348,HORIZON BLUE SHIELD OF NEW JERSEY,1,1,1.0,170.0,170.0
99309,HUMANA,1393,1394,1.0,257890.0,185.13
99308,HUMANA,471,471,1.0,65940.0,140.0
99310,HUMANA,192,192,1.0,51840.0,270.0
99306,HUMANA,113,113,1.0,37290.0,330.0
99316,HUMANA,26,26,1.0,5460.0,210.0
99315,HUMANA,20,20,1.0,2900.0,145.0
99497,HUMANA,19,19,1.0,3135.0,165.0
99349,HUMANA,15,15,1.0,3825.0,255.0
99305,HUMANA,13,13,1.0,3380.0,260.0
99307,HUMANA,7,7,1.0,630.0,90.0
99348,HUMANA,4,4,1.0,680.0,170.0
G8510,HUMANA,3,3,1.0,0.03,0.01
99350,HUMANA,3,3,1.0,1065.0,355.0
99407,HUMANA,1,1,1.0,60.0,60.0
G8752,HUMANA,1,1,1.0,0.01,0.01
G0317,HUMANA,1,1,1.0,65.0,65.0
99358,HUMANA,1,1,1.0,209.68,209.68
99498,HUMANA,1,1,1.0,145.0,145.0
G8754,HUMANA,1,1,1.0,0.01,0.01
99348,IDEALIFE MEDICARE SUPP - PAPER,1,1,1.0,170.0,170.0
99350,IDEALIFE MEDICARE SUPP - PAPER,1,1,1.0,355.0,355.0
99309,ILLUMIFIN CORPORATION,26,26,1.0,4810.0,185.0
99308,ILLUMIFIN CORPORATION,4,4,1.0,560.0,140.0
99305,ILLUMIFIN CORPORATION,3,3,1.0,780.0,260.0
99310,ILLUMIFIN CORPORATION,3,3,1.0,810.0,270.0
99306,ILLUMIFIN CORPORATION,1,1,1.0,330.0,330.0
99349,ILLUMIFIN CORPORATION,1,1,1.0,255.0,255.0
99316,ILLUMIFIN CORPORATION,1,1,1.0,210.0,210.0
G8754,ILLUMIFIN CORPORATION,1,1,1.0,0.01,0.01
G8752,ILLUMIFIN CORPORATION,1,1,1.0,0.01,0.01
99309,INDIANA BLUE SHIELD,18,18,1.0,3330.0,185.0
99308,INDIANA BLUE SHIELD,1,1,1.0,140.0,140.0
99310,INDIANA BLUE SHIELD,1,1,1.0,270.0,270.0
99309,INDIANA MEDICAID,1,1,1.0,185.0,185.0
99308,INNERMARK TPA,4,4,1.0,560.0,140.0
99309,INNERMARK TPA,2,2,1.0,370.0,185.0
99310,INNERMARK TPA,1,1,1.0,270.0,270.0
99349,IOWA BLUE SHIELD,1,1,1.0,255.0,255.0
99310,KAISER PERMANENTE OF S CA REGION,1,1,1.0,270.0,270.0
99309,LIFEWORKS ADVANTAGE (ISNP PLAN),158,158,1.0,29230.0,185.0
99308,LIFEWORKS ADVANTAGE (ISNP PLAN),88,88,1.0,12320.0,140.0
99310,LIFEWORKS ADVANTAGE (ISNP PLAN),2,2,1.0,540.0,270.0
99407,LIFEWORKS ADVANTAGE (ISNP PLAN),1,1,1.0,60.0,60.0
99306,LIFEWORKS ADVANTAGE (ISNP PLAN),1,1,1.0,330.0,330.0
99497,LIFEWORKS ADVANTAGE (ISNP PLAN),1,1,1.0,165.0,165.0
99309,LONGEVITY HEALTH PLAN OF NORTH CAROLINA,5,5,1.0,763.38,152.68
99308,LONGEVITY HEALTH PLAN OF NORTH CAROLINA,3,3,1.0,420.0,140.0
99309,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,100,100,1.0,18500.0,185.0
99308,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,27,27,1.0,3780.0,140.0
99310,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,10,10,1.0,2700.0,270.0
99306,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,6,6,1.0,1980.0,330.0
G8754,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,3,3,1.0,0.03,0.01
G8752,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,3,3,1.0,0.03,0.01
99316,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,2,2,1.0,420.0,210.0
99497,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,165.0,165.0
99305,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,260.0,260.0
G8510,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,0.01,0.01
99309,Loyal Christian Benefit Association,1,1,1.0,185.0,185.0
99309,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,57,57,1.0,10545.0,185.0
99308,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,32,32,1.0,4480.0,140.0
99310,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,4,4,1.0,1080.0,270.0
99306,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,4,4,1.0,1320.0,330.0
99497,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,165.0,165.0
99315,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,145.0,145.0
99308,MAGNACARE,2,2,1.0,280.0,140.0
99309,MAGNACARE,1,1,1.0,185.0,185.0
99309,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,16,16,1.0,2960.0,185.0
99310,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,3,3,1.0,810.0,270.0
99350,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,355.0,355.0
99497,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,165.0,165.0
99306,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,330.0,330.0
99349,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,255.0,255.0
99350,MCS ADVANTAGE INC - PAPER,1,1,1.0,355.0,355.0
99309,MEDICO INSURANCE COMPANY,43,43,1.0,7955.0,185.0
99308,MEDICO INSURANCE COMPANY,24,24,1.0,3360.0,140.0
99310,MEDICO INSURANCE COMPANY,3,3,1.0,810.0,270.0
99306,MEDICO INSURANCE COMPANY,2,2,1.0,660.0,330.0
99305,MEDICO INSURANCE COMPANY,2,2,1.0,520.0,260.0
99348,MEDICO INSURANCE COMPANY,2,2,1.0,340.0,170.0
99316,MEDICO INSURANCE COMPANY,1,1,1.0,210.0,210.0
99349,MEDICO INSURANCE COMPANY,1,1,1.0,255.0,255.0
99309,MERIDIAN PACE SOLUTIONS,84,84,1.0,15540.0,185.0
99308,MERIDIAN PACE SOLUTIONS,31,31,1.0,4340.0,140.0
99310,MERIDIAN PACE SOLUTIONS,7,7,1.0,1890.0,270.0
99306,MERIDIAN PACE SOLUTIONS,4,4,1.0,1320.0,330.0
99316,MERIDIAN PACE SOLUTIONS,1,1,1.0,210.0,210.0
99305,MERIDIAN PACE SOLUTIONS,1,1,1.0,260.0,260.0
99309,MICHIGAN BLUE SHIELD,2,2,1.0,370.0,185.0
99309,MOLINA COMPLETE CARE OF VIRGINIA,88,88,1.0,16280.0,185.0
99308,MOLINA COMPLETE CARE OF VIRGINIA,50,50,1.0,7000.0,140.0
99307,MOLINA COMPLETE CARE OF VIRGINIA,8,8,1.0,720.0,90.0
99310,MOLINA COMPLETE CARE OF VIRGINIA,5,5,1.0,1350.0,270.0
99306,MOLINA COMPLETE CARE OF VIRGINIA,5,5,1.0,1650.0,330.0
99305,MOLINA COMPLETE CARE OF VIRGINIA,4,4,1.0,1040.0,260.0
99497,MOLINA COMPLETE CARE OF VIRGINIA,1,1,1.0,165.0,165.0
99309,MUTUAL OF OMAHA,296,296,1.0,54760.0,185.0
99308,MUTUAL OF OMAHA,84,84,1.0,11760.0,140.0
99310,MUTUAL OF OMAHA,31,31,1.0,8370.0,270.0
99306,MUTUAL OF OMAHA,21,21,1.0,6930.0,330.0
99305,MUTUAL OF OMAHA,8,8,1.0,2080.0,260.0
99349,MUTUAL OF OMAHA,3,3,1.0,765.0,255.0
99348,MUTUAL OF OMAHA,3,3,1.0,510.0,170.0
99350,MUTUAL OF OMAHA,2,2,1.0,710.0,355.0
G8754,MUTUAL OF OMAHA,2,2,1.0,0.02,0.01
G8752,MUTUAL OF OMAHA,2,2,1.0,0.02,0.01
99315,MUTUAL OF OMAHA,2,2,1.0,290.0,145.0
99497,MUTUAL OF OMAHA,1,1,1.0,165.0,165.0
99316,MUTUAL OF OMAHA,1,1,1.0,210.0,210.0
99309,NATIONAL ASSOCIATION OF LETTER CARRIERS,7,7,1.0,1295.0,185.0
99309,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),8,8,1.0,1480.0,185.0
G8754,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),1,1,1.0,0.01,0.01
99306,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),1,1,1.0,330.0,330.0
G8752,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),1,1,1.0,0.01,0.01
99310,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),1,1,1.0,270.0,270.0
99309,NEW YORK BLUE SHIELD  CENTRAL REGION,6,6,1.0,1110.0,185.0
99306,NEW YORK BLUE SHIELD  CENTRAL REGION,1,1,1.0,330.0,330.0
99310,NEW YORK BLUE SHIELD  CENTRAL REGION,1,1,1.0,270.0,270.0
99309,NF-STATE FARM & PI ONLY,26,26,1.0,4810.0,185.0
99308,NF-STATE FARM & PI ONLY,10,10,1.0,1400.0,140.0
99310,NF-STATE FARM & PI ONLY,2,2,1.0,540.0,270.0
99306,NF-STATE FARM & PI ONLY,1,1,1.0,330.0,330.0
99349,NF-STATE FARM & PI ONLY,1,1,1.0,255.0,255.0
99309,NORTH CAROLINA BLUE SHIELD,419,419,1.0,77515.0,185.0
99310,NORTH CAROLINA BLUE SHIELD,70,70,1.0,18900.0,270.0
99308,NORTH CAROLINA BLUE SHIELD,44,44,1.0,6160.0,140.0
99306,NORTH CAROLINA BLUE SHIELD,22,22,1.0,7260.0,330.0
99316,NORTH CAROLINA BLUE SHIELD,9,9,1.0,1890.0,210.0
99497,NORTH CAROLINA BLUE SHIELD,6,6,1.0,990.0,165.0
99406,NORTH CAROLINA BLUE SHIELD,2,2,1.0,70.0,35.0
33993,NORTH CAROLINA BLUE SHIELD,1,1,1.0,315.0,315.0
99315,NORTH CAROLINA BLUE SHIELD,1,1,1.0,145.0,145.0
99309,NORTH CAROLINA MEDICAID,1050,1050,1.0,194250.0,185.0
99308,NORTH CAROLINA MEDICAID,255,255,1.0,35700.0,140.0
99310,NORTH CAROLINA MEDICAID,107,107,1.0,28890.0,270.0
99306,NORTH CAROLINA MEDICAID,14,14,1.0,4620.0,330.0
99497,NORTH CAROLINA MEDICAID,9,9,1.0,1485.0,165.0
99316,NORTH CAROLINA MEDICAID,7,7,1.0,1470.0,210.0
99315,NORTH CAROLINA MEDICAID,4,4,1.0,580.0,145.0
99307,NORTH CAROLINA MEDICAID,1,1,1.0,90.0,90.0
99349,NORTH CAROLINA MEDICAID,1,1,1.0,255.0,255.0
G0317,NORTH CAROLINA MEDICAID,1,1,1.0,65.0,65.0
99305,NORTH CAROLINA MEDICAID,1,1,1.0,260.0,260.0
99309,NORTH CAROLINA MEDICARE,1546,1546,1.0,286010.0,185.0
99310,NORTH CAROLINA MEDICARE,244,244,1.0,65880.0,270.0
99308,NORTH CAROLINA MEDICARE,233,233,1.0,32620.0,140.0
99497,NORTH CAROLINA MEDICARE,47,47,1.0,7755.0,165.0
99306,NORTH CAROLINA MEDICARE,36,36,1.0,11880.0,330.0
99316,NORTH CAROLINA MEDICARE,31,31,1.0,6510.0,210.0
99315,NORTH CAROLINA MEDICARE,8,8,1.0,1160.0,145.0
99307,NORTH CAROLINA MEDICARE,1,1,1.0,90.0,90.0
99498,NORTH CAROLINA MEDICARE,1,1,1.0,145.0,145.0
99309,OHIO BLUE SHIELD,13,13,1.0,2405.0,185.0
99308,OHIO BLUE SHIELD,8,8,1.0,1120.0,140.0
99310,OHIO BLUE SHIELD,2,2,1.0,540.0,270.0
99306,OHIO BLUE SHIELD,1,1,1.0,330.0,330.0
99309,OPTIMA FAMILY CARE,134,135,1.01,24975.0,186.38
99308,OPTIMA FAMILY CARE,62,62,1.0,8680.0,140.0
99307,OPTIMA FAMILY CARE,7,7,1.0,630.0,90.0
99310,OPTIMA FAMILY CARE,5,5,1.0,1350.0,270.0
99306,OPTIMA FAMILY CARE,2,2,1.0,660.0,330.0
99305,OPTIMA FAMILY CARE,1,1,1.0,260.0,260.0
99309,OPTIMA HEALTH PLANS,314,316,1.01,58460.0,186.18
99308,OPTIMA HEALTH PLANS,148,148,1.0,20720.0,140.0
99310,OPTIMA HEALTH PLANS,21,21,1.0,5670.0,270.0
99306,OPTIMA HEALTH PLANS,15,15,1.0,4950.0,330.0
99497,OPTIMA HEALTH PLANS,5,5,1.0,825.0,165.0
99316,OPTIMA HEALTH PLANS,4,4,1.0,840.0,210.0
99307,OPTIMA HEALTH PLANS,3,3,1.0,270.0,90.0
99305,OPTIMA HEALTH PLANS,2,2,1.0,520.0,260.0
99348,OPTIMA HEALTH PLANS,1,1,1.0,170.0,170.0
99349,OPTIMA HEALTH PLANS,1,1,1.0,255.0,255.0
99358,OPTIMA HEALTH PLANS,1,1,1.0,209.68,209.68
G8510,OPTIMA HEALTH PLANS,1,1,1.0,0.01,0.01
G8752,OPTIMA HEALTH PLANS,1,1,1.0,0.01,0.01
G8754,OPTIMA HEALTH PLANS,1,1,1.0,0.01,0.01
99309,OPTUMCARE,16,16,1.0,2960.0,185.0
99308,OPTUMCARE,8,8,1.0,1120.0,140.0
99310,OPTUMCARE,2,2,1.0,540.0,270.0
99306,OPTUMCARE,2,2,1.0,660.0,330.0
99315,OPTUMCARE,1,1,1.0,145.0,145.0
99308,PEKIN INSURANCE,1,1,1.0,140.0,140.0
99309,PRINCIPAL LIFE MEDICARE SUPPLEMENT,6,6,1.0,1110.0,185.0
99308,PRINCIPAL LIFE MEDICARE SUPPLEMENT,1,1,1.0,140.0,140.0
99309,RETIRED RAILROAD MEDICARE,59,59,1.0,10915.0,185.0
