code,provider_name,encounters_billed,units_billed,insurance_billed_amount,units_per_encounter,billed_per_encounter
99310,Berna Jean Besana-Mirafuente,24,24,6480.0,1.0,270.0
99316,Berna Jean Besana-Mirafuente,12,12,2520.0,1.0,210.0
99349,Bridgette Smoot,80,80,20400.0,1.0,255.0
99350,Bridgette Smoot,54,54,19170.0,1.0,355.0
99348,Bridgette Smoot,72,72,12240.0,1.0,170.0
99309,Bridgette Smoot,66,66,12210.0,1.0,185.0
99310,Bridgette Smoot,32,32,8640.0,1.0,270.0
99347,Bridgette Smoot,57,57,6270.0,1.0,110.0
99308,Bridgette Smoot,26,26,3640.0,1.0,140.0
90471,Bridgette Smoot,13,13,455.0,1.0,35.0
33993,Bridgette Smoot,1,1,315.0,1.0,315.0
99307,Bridgette Smoot,1,1,90.0,1.0,90.0
15853,Bridgette Smoot,2,2,50.0,1.0,25.0
99309,Cathy Arney,16,16,2960.0,1.0,185.0
99310,Cathy Arney,1,1,270.0,1.0,270.0
99309,Charles Moon,1,1,185.0,1.0,185.0
99306,Charles Welly,26,26,8580.0,1.0,330.0
99309,Charles Welly,42,42,7770.0,1.0,185.0
99310,Charles Welly,7,7,1890.0,1.0,270.0
99305,Charles Welly,3,3,780.0,1.0,260.0
99308,Charles Welly,2,2,280.0,1.0,140.0
99309,Chinedum Ikwueme,112,112,20720.0,1.0,185.0
99310,Chinedum Ikwueme,7,7,1890.0,1.0,270.0
99308,Chinedum Ikwueme,4,4,560.0,1.0,140.0
99309,Christeen Jefferson,27,27,4995.0,1.0,185.0
99308,Christeen Jefferson,8,8,1120.0,1.0,140.0
99310,Christeen Jefferson,2,2,540.0,1.0,270.0
99309,Christie York,124,124,22940.0,1.0,185.0
99310,Christie York,15,15,4050.0,1.0,270.0
99308,Christie York,27,27,3780.0,1.0,140.0
99315,Christie York,5,5,725.0,1.0,145.0
99309,Christina Bowen,159,159,29415.0,1.0,185.0
99308,Christina Bowen,64,64,8960.0,1.0,140.0
99310,Christina Bowen,16,16,4320.0,1.0,270.0
99315,Christina Bowen,5,5,725.0,1.0,145.0
99316,Christina Bowen,1,1,210.0,1.0,210.0
99497,Christina Bowen,1,1,165.0,1.0,165.0
99306,Craig Hayek,3,3,990.0,1.0,330.0
99309,Craig Hayek,2,2,370.0,1.0,185.0
99305,Craig Prokos,20,20,5200.0,1.0,260.0
99309,Craig Prokos,24,24,4440.0,1.0,185.0
99306,Craig Prokos,10,10,3300.0,1.0,330.0
99309,Cristin Bradley,3,3,555.0,1.0,185.0
99308,Cristin Bradley,3,3,420.0,1.0,140.0
99310,Crystal Moss,148,148,39960.0,1.0,270.0
99309,Crystal Moss,144,144,26640.0,1.0,185.0
99316,Crystal Moss,5,5,1050.0,1.0,210.0
99308,Crystal Moss,5,5,700.0,1.0,140.0
99315,Crystal Moss,2,2,290.0,1.0,145.0
97606,Crystal Moss,1,1,130.24,1.0,130.24
99406,Crystal Moss,1,1,35.0,1.0,35.0
99309,Daleen Lewis,191,191,35335.0,1.0,185.0
99308,Daleen Lewis,129,129,18060.0,1.0,140.0
99310,Daleen Lewis,18,18,4860.0,1.0,270.0
99316,Daleen Lewis,6,6,1260.0,1.0,210.0
99309,Darleen Hoffert,59,59,10915.0,1.0,185.0
99308,Darleen Hoffert,58,58,8120.0,1.0,140.0
99310,Darleen Hoffert,30,30,8100.0,1.0,270.0
96127,Darleen Hoffert,1,1,12.34,1.0,12.34
99309,Dawn Shire Crawford,182,182,33670.0,1.0,185.0
99308,Dawn Shire Crawford,9,9,1260.0,1.0,140.0
99310,Dawn Shire Crawford,2,2,540.0,1.0,270.0
99316,Dawn Shire Crawford,1,1,210.0,1.0,210.0
99309,Deborah Mahoney,2,2,370.0,1.0,185.0
99310,Deborah Mahoney,1,1,270.0,1.0,270.0
99309,Deborah Parsons,160,160,29600.0,1.0,185.0
99310,Deborah Parsons,92,92,24840.0,1.0,270.0
99308,Deborah Parsons,56,56,7840.0,1.0,140.0
99316,Deborah Parsons,5,5,1050.0,1.0,210.0
99315,Deborah Parsons,1,1,145.0,1.0,145.0
99309,Desirae Downs,121,121,22385.0,1.0,185.0
99308,Desirae Downs,91,91,12740.0,1.0,140.0
99310,Desirae Downs,18,18,4860.0,1.0,270.0
99316,Desirae Downs,4,4,840.0,1.0,210.0
99308,Elizabeth Draper,1,1,140.0,1.0,140.0
99309,Ellen Landreth,416,416,76960.0,1.0,185.0
99310,Ellen Landreth,93,93,25110.0,1.0,270.0
99497,Ellen Landreth,50,50,8250.0,1.0,165.0
99316,Ellen Landreth,32,32,6720.0,1.0,210.0
99308,Ellen Landreth,21,21,2940.0,1.0,140.0
99309,Gene Bailey Jr.,6,6,1110.0,1.0,185.0
99308,Gene Bailey Jr.,7,7,980.0,1.0,140.0
99310,Gene Bailey Jr.,2,2,540.0,1.0,270.0
99309,Gina Martin,55,55,10175.0,1.0,185.0
99308,Gina Martin,54,54,7560.0,1.0,140.0
99310,Gina Martin,7,7,1890.0,1.0,270.0
99306,Harold Stepanek,12,12,3960.0,1.0,330.0
99309,Harold Stepanek,16,16,2960.0,1.0,185.0
99310,Harold Stepanek,1,1,270.0,1.0,270.0
99307,Harold Stepanek,2,2,180.0,1.0,90.0
G0317,Harold Stepanek,1,1,65.0,1.0,65.0
99308,Ila Mckenzie,190,190,26600.0,1.0,140.0
99309,Ila Mckenzie,140,140,25900.0,1.0,185.0
99310,Ila Mckenzie,44,44,11880.0,1.0,270.0
99380,Ila Mckenzie,1,1,250.0,1.0,250.0
99309,Indre Malaiskaite,69,69,12765.0,1.0,185.0
99308,Indre Malaiskaite,20,20,2800.0,1.0,140.0
99309,Isabelle Tubbs,217,217,40145.0,1.0,185.0
99308,Isabelle Tubbs,107,107,14980.0,1.0,140.0
99310,Isabelle Tubbs,27,27,7290.0,1.0,270.0
99316,Isabelle Tubbs,1,1,210.0,1.0,210.0
99309,Isai Cruz,126,126,23310.0,1.0,185.0
99308,Isai Cruz,76,76,10640.0,1.0,140.0
99310,Isai Cruz,34,34,9180.0,1.0,270.0
99307,Isai Cruz,9,9,810.0,1.0,90.0
99315,Isai Cruz,5,5,725.0,1.0,145.0
99305,James Bates,30,30,7800.0,1.0,260.0
99309,James Bates,40,40,7400.0,1.0,185.0
99306,James Bates,14,14,4620.0,1.0,330.0
99308,James Bates,18,18,2520.0,1.0,140.0
99310,James Bates,1,1,270.0,1.0,270.0
99316,James Bates,1,1,210.0,1.0,210.0
G0180,James Bates,1,1,182.5,1.0,182.5
99307,James Bates,1,1,90.0,1.0,90.0
99309,Jayme Kressen,32,32,5920.0,1.0,185.0
99310,Jayme Kressen,5,5,1350.0,1.0,270.0
99308,Jayme Kressen,2,2,280.0,1.0,140.0
99305,Jeffrey Severa,1,1,260.0,1.0,260.0
99309,Jenna Holt,210,210,38850.0,1.0,185.0
99308,Jenna Holt,72,72,10080.0,1.0,140.0
99310,Jenna Holt,15,15,4050.0,1.0,270.0
99316,Jenna Holt,8,8,1680.0,1.0,210.0
99309,Jennifer Davis,93,93,17205.0,1.0,185.0
99308,Jennifer Davis,106,106,14840.0,1.0,140.0
99310,Jennifer Davis,17,17,4590.0,1.0,270.0
99316,Jennifer Davis,5,5,1050.0,1.0,210.0
99309,Jennifer Horne,120,120,22200.0,1.0,185.0
99308,Jennifer Horne,86,86,12040.0,1.0,140.0
99497,Jennifer Horne,5,5,825.0,1.0,165.0
99316,Jennifer Horne,2,2,420.0,1.0,210.0
99310,Jennifer Horne,1,1,270.0,1.0,270.0
99315,Jennifer Horne,1,1,145.0,1.0,145.0
99309,Jeremy Whited,74,74,13690.0,1.0,185.0
99308,Jeremy Whited,26,26,3640.0,1.0,140.0
99310,Jeremy Whited,12,12,3240.0,1.0,270.0
99315,Jeremy Whited,1,1,145.0,1.0,145.0
99308,Jessica Pitzer,64,64,8960.0,1.0,140.0
99310,Jessica Pitzer,5,5,1350.0,1.0,270.0
99309,Jill Garrett,258,258,47730.0,1.0,185.0
99308,Jill Garrett,123,123,17220.0,1.0,140.0
99310,Jill Garrett,27,27,7290.0,1.0,270.0
99316,Jill Garrett,2,2,420.0,1.0,210.0
G0438,Jill Garrett,1,1,340.0,1.0,340.0
99315,Jill Garrett,2,2,290.0,1.0,145.0
99309,Jingwen Mu,108,108,19980.0,1.0,185.0
99310,Jingwen Mu,22,22,5940.0,1.0,270.0
99308,Jingwen Mu,13,13,1820.0,1.0,140.0
99316,Jingwen Mu,2,2,420.0,1.0,210.0
99306,John Reed-Hill Gilstad,17,17,5610.0,1.0,330.0
99310,John Reed-Hill Gilstad,7,7,1890.0,1.0,270.0
G0317,John Reed-Hill Gilstad,11,21,1365.0,1.91,124.09
99309,John Reed-Hill Gilstad,2,2,370.0,1.0,185.0
99309,Johnee Nedrick,213,213,39405.0,1.0,185.0
99308,Johnee Nedrick,67,67,9380.0,1.0,140.0
99310,Johnee Nedrick,12,12,3240.0,1.0,270.0
99315,Johnee Nedrick,7,7,1015.0,1.0,145.0
99305,Johnee Nedrick,1,1,260.0,1.0,260.0
99307,Johnee Nedrick,1,1,90.0,1.0,90.0
99309,Kara Waldrop,84,84,15540.0,1.0,185.0
99310,Kara Waldrop,39,39,10530.0,1.0,270.0
99316,Kara Waldrop,12,12,2520.0,1.0,210.0
99308,Kara Waldrop,4,4,560.0,1.0,140.0
99315,Kara Waldrop,1,1,145.0,1.0,145.0
99309,Karen Vickers,17,17,3145.0,1.0,185.0
99310,Karen Vickers,1,1,270.0,1.0,270.0
99308,Karen Vickers,1,1,140.0,1.0,140.0
99309,Katrina Griffin,1,1,185.0,1.0,185.0
99308,Katrina Griffin,1,1,140.0,1.0,140.0
99309,Kayla Tomlin,134,134,24790.0,1.0,185.0
99308,Kayla Tomlin,82,82,11480.0,1.0,140.0
99310,Kayla Tomlin,30,30,8100.0,1.0,270.0
99316,Kayla Tomlin,4,4,840.0,1.0,210.0
99497,Kayla Tomlin,1,1,165.0,1.0,165.0
99309,Kelli Lane,193,193,35705.0,1.0,185.0
99308,Kelli Lane,119,119,16660.0,1.0,140.0
99310,Kelli Lane,16,16,4320.0,1.0,270.0
99315,Kelli Lane,4,4,580.0,1.0,145.0
99316,Kelli Lane,1,1,210.0,1.0,210.0
99309,Kenneth Wolpert,2,2,370.0,1.0,185.0
99309,Keyna Udenze,3,3,555.0,1.0,185.0
99315,Keyna Udenze,1,1,145.0,1.0,145.0
99308,Keyna Udenze,1,1,140.0,1.0,140.0
99306,Khoi Nguyen,6,6,1980.0,1.0,330.0
99305,Khoi Nguyen,4,4,1040.0,1.0,260.0
99307,Khoi Nguyen,2,2,180.0,1.0,90.0
99308,Kimaka Bowens,81,81,11340.0,1.0,140.0
99309,Kimaka Bowens,5,5,925.0,1.0,185.0
99316,Kimaka Bowens,4,4,840.0,1.0,210.0
99309,Kimberly Washbourne,18,18,3330.0,1.0,185.0
99308,Kimberly Washbourne,23,23,3220.0,1.0,140.0
99307,Kimberly Washbourne,9,9,810.0,1.0,90.0
99310,Kimberly Washbourne,1,1,270.0,1.0,270.0
99309,Kimberly Williams,249,249,46065.0,1.0,185.0
99308,Kimberly Williams,61,61,8540.0,1.0,140.0
99310,Kimberly Williams,18,18,4860.0,1.0,270.0
99316,Kimberly Williams,5,5,1050.0,1.0,210.0
99315,Kimberly Williams,3,3,435.0,1.0,145.0
99308,Kira Derby,1,1,140.0,1.0,140.0
99308,Kreig Spahn,102,102,14280.0,1.0,140.0
99306,Kreig Spahn,42,42,13860.0,1.0,330.0
99309,Kreig Spahn,45,45,8325.0,1.0,185.0
99305,Kreig Spahn,7,7,1820.0,1.0,260.0
20552,Kreig Spahn,1,1,110.0,1.0,110.0
99307,Kreig Spahn,1,1,90.0,1.0,90.0
99309,Krystal Woodson,160,160,29600.0,1.0,185.0
99308,Krystal Woodson,99,99,13860.0,1.0,140.0
99310,Krystal Woodson,23,23,6210.0,1.0,270.0
99316,Krystal Woodson,16,16,3360.0,1.0,210.0
99497,Krystal Woodson,19,19,3135.0,1.0,165.0
99315,Krystal Woodson,2,2,290.0,1.0,145.0
G0317,Krystal Woodson,3,3,195.0,1.0,65.0
99308,Laszlo Vecsei,40,40,5600.0,1.0,140.0
99309,Laszlo Vecsei,24,24,4440.0,1.0,185.0
99310,Laszlo Vecsei,1,1,270.0,1.0,270.0
99309,Linda Brown-Trudel,100,100,18500.0,1.0,185.0
99306,Linda Brown-Trudel,53,53,17490.0,1.0,330.0
99310,Linda Brown-Trudel,38,38,10260.0,1.0,270.0
99305,Linda Brown-Trudel,14,14,3640.0,1.0,260.0
99308,Linda Brown-Trudel,7,7,980.0,1.0,140.0
99309,Lisa Coleman,193,193,35705.0,1.0,185.0
99308,Lisa Coleman,121,121,16940.0,1.0,140.0
99310,Lisa Coleman,16,16,4320.0,1.0,270.0
99316,Lisa Coleman,4,4,840.0,1.0,210.0
99315,Lisa Coleman,3,3,435.0,1.0,145.0
99307,Lisa Coleman,1,1,90.0,1.0,90.0
99309,Lisa Reedy,256,256,47360.0,1.0,185.0
99316,Lisa Reedy,11,11,2310.0,1.0,210.0
99310,Lisa Reedy,2,2,540.0,1.0,270.0
99308,Lisa Reedy,2,2,280.0,1.0,140.0
G8510,Lisa Reedy,1,1,0.01,1.0,0.01
99308,Lori Beucler,26,26,3640.0,1.0,140.0
99310,Lori Beucler,2,2,540.0,1.0,270.0
99307,Lori Beucler,2,2,180.0,1.0,90.0
99309,Lori Fuquay,221,221,40885.0,1.0,185.0
99308,Lori Fuquay,63,63,8820.0,1.0,140.0
99310,Lori Fuquay,11,11,2970.0,1.0,270.0
99316,Lori Fuquay,6,6,1260.0,1.0,210.0
99305,Manaye Kebede,1,1,260.0,1.0,260.0
99308,Mariana Herrera,34,34,4760.0,1.0,140.0
99309,Mariana Herrera,10,10,1850.0,1.0,185.0
99310,Mariana Herrera,1,1,270.0,1.0,270.0
99309,Marquail Mcbride,41,41,7585.0,1.0,185.0
99308,Marquail Mcbride,23,23,3220.0,1.0,140.0
99310,Marquail Mcbride,1,1,270.0,1.0,270.0
99305,Martin Litman,12,12,3120.0,1.0,260.0
99306,Martin Litman,6,6,1980.0,1.0,330.0
99309,Martin Litman,5,5,925.0,1.0,185.0
99310,Martin Litman,1,1,270.0,1.0,270.0
99308,Mary Catherine Prickett,241,241,33740.0,1.0,140.0
99307,Mary Catherine Prickett,191,191,17190.0,1.0,90.0
99309,Mary Catherine Prickett,42,42,7770.0,1.0,185.0
99310,Mary Catherine Prickett,5,5,1350.0,1.0,270.0
99305,Mary Catherine Prickett,1,1,260.0,1.0,260.0
99305,Matthew Schweiger,2,2,520.0,1.0,260.0
99309,Matthew Schweiger,1,1,185.0,1.0,185.0
99309,May Anderson,378,378,69930.0,1.0,185.0
99310,May Anderson,51,51,13770.0,1.0,270.0
99308,May Anderson,44,44,6160.0,1.0,140.0
99316,May Anderson,8,8,1680.0,1.0,210.0
99497,May Anderson,7,7,1155.0,1.0,165.0
99315,May Anderson,3,3,435.0,1.0,145.0
99309,Megan Osborne,193,193,35705.0,1.0,185.0
99308,Megan Osborne,101,101,14140.0,1.0,140.0
99310,Megan Osborne,37,37,9990.0,1.0,270.0
99316,Megan Osborne,6,6,1260.0,1.0,210.0
99315,Megan Osborne,1,1,145.0,1.0,145.0
99309,Meladie Mitchell,280,280,51800.0,1.0,185.0
99310,Meladie Mitchell,22,22,5940.0,1.0,270.0
99308,Meladie Mitchell,4,4,560.0,1.0,140.0
99315,Meladie Mitchell,2,2,290.0,1.0,145.0
99308,Melissa Aguilar,161,161,22540.0,1.0,140.0
99309,Melissa Aguilar,21,21,3885.0,1.0,185.0
99306,Michael T Williams,18,18,5940.0,1.0,330.0
99309,Michael T Williams,30,30,5550.0,1.0,185.0
99309,Miranda Fields,141,141,26085.0,1.0,185.0
99308,Miranda Fields,94,94,13160.0,1.0,140.0
99310,Miranda Fields,15,15,4050.0,1.0,270.0
99315,Miranda Fields,3,3,435.0,1.0,145.0
99484,Miranda Fields,1,1,85.0,1.0,85.0
99309,Mitchell Guanzon,98,98,18130.0,1.0,185.0
99310,Mitchell Guanzon,12,12,3240.0,1.0,270.0
99315,Mitchell Guanzon,8,8,1160.0,1.0,145.0
99316,Mitchell Guanzon,2,2,420.0,1.0,210.0
99309,Molly Vaughan,124,124,22940.0,1.0,185.0
99308,Molly Vaughan,22,22,3080.0,1.0,140.0
99310,Molly Vaughan,7,7,1890.0,1.0,270.0
99315,Molly Vaughan,6,6,870.0,1.0,145.0
99316,Molly Vaughan,1,1,210.0,1.0,210.0
99308,Monica Baldwin,1,1,140.0,1.0,140.0
99309,Natasha Estep,141,141,26085.0,1.0,185.0
99308,Natasha Estep,91,91,12740.0,1.0,140.0
99310,Natasha Estep,12,12,3240.0,1.0,270.0
99315,Natasha Estep,2,2,290.0,1.0,145.0
99307,Natasha Estep,1,1,90.0,1.0,90.0
99306,Neil Schwartzman,173,173,57090.0,1.0,330.0
99309,Neil Schwartzman,196,196,36260.0,1.0,185.0
99308,Neil Schwartzman,1,1,140.0,1.0,140.0
99309,Newton High,8,8,1480.0,1.0,185.0
99308,Newton High,5,5,700.0,1.0,140.0
99309,Nikita Blakeney-Williams,114,114,21090.0,1.0,185.0
99308,Nikita Blakeney-Williams,62,62,8680.0,1.0,140.0
99310,Nikita Blakeney-Williams,23,23,6210.0,1.0,270.0
99316,Nikita Blakeney-Williams,3,3,630.0,1.0,210.0
99309,Pamela Scholl,11,11,2035.0,1.0,185.0
99308,Pamela Scholl,9,9,1260.0,1.0,140.0
99310,Pamela Scholl,3,3,810.0,1.0,270.0
99316,Pamela Scholl,3,3,630.0,1.0,210.0
99315,Pamela Scholl,1,1,145.0,1.0,145.0
G9717,Pamela Scholl,1,1,0.01,1.0,0.01
99309,Rebecca Green,194,194,35890.0,1.0,185.0
99308,Rebecca Green,240,240,33600.0,1.0,140.0
99315,Rebecca Green,17,17,2465.0,1.0,145.0
99309,Sandra Kolb,209,209,38665.0,1.0,185.0
99310,Sandra Kolb,67,67,18090.0,1.0,270.0
99308,Sandra Kolb,5,5,700.0,1.0,140.0
99316,Sandra Kolb,2,2,420.0,1.0,210.0
99315,Sandra Kolb,2,2,290.0,1.0,145.0
99309,Sarah Tiesing,150,150,27750.0,1.0,185.0
99308,Sarah Tiesing,132,132,18480.0,1.0,140.0
99310,Sarah Tiesing,25,25,6750.0,1.0,270.0
99316,Sarah Tiesing,1,1,210.0,1.0,210.0
99309,Sarah Wells,260,260,48100.0,1.0,185.0
99310,Sarah Wells,40,40,10800.0,1.0,270.0
99316,Sarah Wells,16,16,3360.0,1.0,210.0
99308,Sarah Wells,12,12,1680.0,1.0,140.0
99350,Sarah Wells,4,4,1420.0,1.0,355.0
99349,Sarah Wells,4,4,1020.0,1.0,255.0
99348,Sarah Wells,1,1,170.0,1.0,170.0
99309,Saree Allen,116,116,21460.0,1.0,185.0
99310,Saree Allen,28,28,7560.0,1.0,270.0
99497,Saree Allen,6,6,990.0,1.0,165.0
99316,Saree Allen,4,4,840.0,1.0,210.0
99308,Saree Allen,4,4,560.0,1.0,140.0
99315,Saree Allen,1,1,145.0,1.0,145.0
20610,Saree Allen,1,1,135.0,1.0,135.0
G0317,Saree Allen,2,2,130.0,1.0,65.0
99309,Shannon Dart,31,31,5735.0,1.0,185.0
99310,Shannon Dart,8,8,2160.0,1.0,270.0
99308,Shannon Dart,9,9,1260.0,1.0,140.0
99497,Shannon Dart,6,6,990.0,1.0,165.0
99309,Shannon Hill,216,216,39960.0,1.0,185.0
99308,Shannon Hill,116,116,16240.0,1.0,140.0
99310,Shannon Hill,18,18,4860.0,1.0,270.0
99497,Shannon Hill,17,17,2805.0,1.0,165.0
99316,Shannon Hill,10,10,2100.0,1.0,210.0
99309,Shanthi Rondot,90,90,16650.0,1.0,185.0
99308,Shanthi Rondot,117,117,16380.0,1.0,140.0
99310,Shanthi Rondot,27,27,7290.0,1.0,270.0
99316,Shanthi Rondot,9,9,1890.0,1.0,210.0
99309,Shelly Bass,15,15,2775.0,1.0,185.0
99308,Shelly Bass,11,11,1540.0,1.0,140.0
99310,Shelly Bass,3,3,810.0,1.0,270.0
99406,Shelly Bass,2,2,70.0,1.0,35.0
99309,Sherlene Mcnallan,230,230,42550.0,1.0,185.0
99308,Sherlene Mcnallan,104,104,14560.0,1.0,140.0
99310,Sherlene Mcnallan,51,51,13770.0,1.0,270.0
99316,Sherlene Mcnallan,15,15,3150.0,1.0,210.0
99315,Sherlene Mcnallan,2,2,290.0,1.0,145.0
G0317,Sherlene Mcnallan,2,2,130.0,1.0,65.0
99308,Steven Tatum,260,260,36400.0,1.0,140.0
99310,Steven Tatum,22,22,5940.0,1.0,270.0
99309,Steven Tatum,20,20,3700.0,1.0,185.0
99307,Steven Tatum,24,24,2160.0,1.0,90.0
99315,Steven Tatum,9,9,1305.0,1.0,145.0
99316,Steven Tatum,2,2,420.0,1.0,210.0
99309,Syed Ishaq,45,45,8325.0,1.0,185.0
99306,Syed Ishaq,25,25,8250.0,1.0,330.0
99308,Tammi Hampton,6,6,840.0,1.0,140.0
99309,Tammi Hampton,1,1,185.0,1.0,185.0
99309,Tammy Bogart,1,1,185.0,1.0,185.0
99308,Tammy Bogart,1,1,140.0,1.0,140.0
99308,Taneisha Gayles,179,179,25060.0,1.0,140.0
99309,Taneisha Gayles,112,112,20720.0,1.0,185.0
99310,Taneisha Gayles,14,14,3780.0,1.0,270.0
99315,Taneisha Gayles,8,8,1160.0,1.0,145.0
99309,Tennillya Pearce,126,126,23310.0,1.0,185.0
99308,Tennillya Pearce,111,111,15540.0,1.0,140.0
99310,Tennillya Pearce,20,20,5400.0,1.0,270.0
99316,Tennillya Pearce,8,8,1680.0,1.0,210.0
99309,Tiffany Curry,166,166,30710.0,1.0,185.0
99308,Tiffany Curry,41,41,5740.0,1.0,140.0
99310,Tiffany Curry,21,21,5670.0,1.0,270.0
99316,Tiffany Curry,3,3,630.0,1.0,210.0
99315,Tiffany Curry,4,4,580.0,1.0,145.0
99309,Tiffany Douglas,160,160,29600.0,1.0,185.0
99308,Tiffany Douglas,125,125,17500.0,1.0,140.0
99310,Tiffany Douglas,35,35,9450.0,1.0,270.0
99306,Tiffany Douglas,11,11,3630.0,1.0,330.0
99316,Tiffany Douglas,6,6,1260.0,1.0,210.0
99309,Tiffany English,203,203,37555.0,1.0,185.0
99310,Tiffany English,20,20,5400.0,1.0,270.0
99308,Tiffany English,29,29,4060.0,1.0,140.0
99316,Tiffany English,17,17,3570.0,1.0,210.0
99306,Tiffany English,1,1,330.0,1.0,330.0
G8431,Tiffany English,2,2,80.0,1.0,40.0
99406,Tiffany English,1,1,35.0,1.0,35.0
G8510,Tiffany English,21,21,0.21,1.0,0.01
99309,Tiffany Hickson,2,2,370.0,1.0,185.0
99306,Timothy Mckernan,77,77,25410.0,1.0,330.0
99309,Timothy Mckernan,109,109,20165.0,1.0,185.0
99305,Timothy Mckernan,24,24,6240.0,1.0,260.0
99308,Timothy Mckernan,30,30,4200.0,1.0,140.0
99309,Tracy Dapper,14,14,2590.0,1.0,185.0
99308,Tracy Dapper,5,5,700.0,1.0,140.0
99310,Tracy Dapper,2,2,540.0,1.0,270.0
99306,Tracy Goen,14,14,4620.0,1.0,330.0
99309,Tracy Goen,16,16,2960.0,1.0,185.0
99305,Tracy Goen,2,2,520.0,1.0,260.0
99308,Tracy Goen,1,1,140.0,1.0,140.0
99308,Tracy Keisling,64,64,8960.0,1.0,140.0
99309,Tracy Keisling,6,6,1110.0,1.0,185.0
99315,Tracy Keisling,4,4,580.0,1.0,145.0
99310,Tracy Keisling,2,2,540.0,1.0,270.0
99309,Trixy Headden,31,31,5735.0,1.0,185.0
99310,Trixy Headden,10,10,2700.0,1.0,270.0
99308,Trixy Headden,18,18,2520.0,1.0,140.0
99315,Trixy Headden,1,1,145.0,1.0,145.0
99306,Wallisa Vaughn,11,11,3630.0,1.0,330.0
99305,Wallisa Vaughn,3,3,780.0,1.0,260.0
99309,Zachary Page,177,177,32745.0,1.0,185.0
99308,Zachary Page,109,109,15260.0,1.0,140.0
99310,Zachary Page,24,24,6480.0,1.0,270.0
99316,Zachary Page,8,8,1680.0,1.0,210.0
99315,Zachary Page,9,9,1305.0,1.0,145.0
